Time,Active PDUs
0.0,0
15051.0,1
19616.0,2
20464.0,3
23456.0,4
23464.0,3
28098.0,2
30521.0,1
36678.0,2
37718.0,3
54196.0,2
55390.0,3
56404.0,4
60124.0,5
61846.0,6
62598.0,7
64880.0,8
65424.0,9
72570.0,8
74542.0,9
76181.0,8
76419.0,9
76476.0,10
77354.0,9
79874.0,10
80718.0,9
80889.0,8
83707.0,7
88401.0,6
92223.0,5
95327.0,6
100485.0,5
100999.0,6
103900.0,7
107318.0,8
109068.0,9
109165.0,8
110408.0,7
118650.0,6
119321.0,5
121057.0,6
123186.0,5
124753.0,4
128424.0,5
129446.0,6
134294.0,7
136908.0,6
143431.0,7
143518.0,6
148169.0,5
158637.0,6
160917.0,5
162008.0,6
163976.0,7
164323.0,8
165550.0,7
165559.0,6
167766.0,7
167986.0,8
171679.0,7
179274.0,8
179782.0,7
183656.0,8
184257.0,7
188583.0,6
193722.0,5
201453.0,4
202561.0,5
202838.0,6
211011.0,5
217540.0,6
217925.0,7
218541.0,8
223423.0,9
223752.0,10
225719.0,11
230794.0,12
233990.0,13
240120.0,14
240236.0,13
240359.0,14
242377.0,13
243514.0,12
244356.0,11
247761.0,9
250551.0,10
251122.0,11
251839.0,12
252719.0,11
253787.0,10
256181.0,10
259734.0,11
260755.0,12
261168.0,11
268212.0,12
268613.0,13
269493.0,14
272366.0,15
275051.0,14
275428.0,13
277163.0,13
277748.0,12
281203.0,13
284745.0,12
285721.0,11
287583.0,6
288006.0,6
289039.0,7
291113.0,8
291301.0,7
292915.0,6
304087.0,7
304237.0,7
304820.0,8
307606.0,9
311756.0,10
317463.0,10
317755.0,11
317812.0,10
317968.0,9
318051.0,8
321038.0,8
322294.0,9
323374.0,10
324354.0,9
326306.0,10
327923.0,11
328679.0,10
332377.0,9
339907.0,10
348052.0,9
350216.0,8
351667.0,9
353457.0,10
353645.0,11
354976.0,12
357138.0,11
358772.0,12
359781.0,13
360142.0,12
362879.0,13
363504.0,12
364890.0,13
367969.0,14
369405.0,13
370220.0,12
372060.0,11
375283.0,9
378574.0,8
378798.0,9
383577.0,9
385627.0,10
386050.0,9
387414.0,8
392146.0,9
392798.0,8
396433.0,8
397466.0,9
399548.0,10
400580.0,9
400670.0,9
401501.0,8
401935.0,7
402019.0,8
402241.0,9
403304.0,9
404263.0,10
406708.0,11
407448.0,12
408051.0,13
415774.0,14
418543.0,13
420648.0,14
423937.0,13
427988.0,14
428305.0,15
429373.0,14
433460.0,15
433769.0,14
434260.0,13
437901.0,12
440749.0,11
445763.0,10
447911.0,11
455111.0,12
458528.0,11
459282.0,10
462974.0,11
465702.0,11
466466.0,10
466850.0,9
467290.0,10
467511.0,11
476105.0,10
478216.0,9
478732.0,8
478779.0,9
484129.0,10
484225.0,9
484479.0,10
485102.0,9
490989.0,10
492259.0,11
493614.0,12
500476.0,13
508912.0,14
509936.0,13
512635.0,14
513296.0,13
514137.0,12
514317.0,13
516430.0,12
517829.0,13
518216.0,14
519055.0,13
520326.0,12
524887.0,13
525313.0,12
525357.0,13
528806.0,12
531839.0,13
532198.0,12
537361.0,13
538607.0,12
538731.0,13
539706.0,14
543059.0,15
543762.0,14
544726.0,13
552915.0,12
554530.0,11
555086.0,7
555094.0,6
556088.0,7
557406.0,6
558185.0,7
563527.0,6
568339.0,6
570584.0,5
571814.0,6
575706.0,5
587589.0,5
590580.0,6
597176.0,5
598531.0,6
599608.0,5
601514.0,6
604505.0,7
605583.0,7
610800.0,8
611538.0,7
612050.0,8
614615.0,9
631629.0,8
635103.0,8
638756.0,9
642650.0,10
645507.0,9
651569.0,10
653307.0,11
653744.0,12
659777.0,11
661614.0,10
673838.0,11
673844.0,12
677319.0,11
678270.0,12
