Time,PDUs
0.0,0
126.0,1
165.0,2
173.0,3
257.0,4
309.0,5
455.0,6
465.0,7
474.0,8
505.0,9
520.0,10
527.0,11
547.0,12
612.0,13
643.0,14
645.0,15
653.0,16
777.0,17
846.0,18
851.0,19
876.0,20
905.0,21
1006.0,22
1052.0,23
1083.0,24
1092.0,25
1155.0,26
1249.0,27
1349.0,28
1356.0,28
1366.0,29
1383.0,30
1397.0,31
1416.0,32
1449.0,33
1517.0,34
1698.0,35
1708.0,36
1779.0,37
1834.0,38
1838.0,39
1844.0,40
1885.0,41
1888.0,42
1905.0,43
1948.0,44
1975.0,45
1985.0,46
2028.0,46
2063.0,47
2092.0,48
2116.0,49
2121.0,50
2164.0,51
2194.0,52
2206.0,53
2265.0,54
2269.0,55
2277.0,56
2346.0,57
2432.0,58
2441.0,59
2474.0,60
2569.0,61
2574.0,62
2598.0,63
2655.0,64
2681.0,64
2711.0,65
2722.0,66
2740.0,67
2757.0,68
2808.0,69
2957.0,70
2970.0,71
2985.0,72
2987.0,73
3017.0,74
3030.0,75
3031.0,75
3043.0,76
3072.0,77
3084.0,78
3144.0,79
3165.0,80
3199.0,80
3241.0,81
3273.0,82
3349.0,83
3358.0,84
3396.0,85
3397.0,86
3404.0,87
3408.0,87
3416.0,88
3437.0,89
3444.0,90
3450.0,91
3538.0,92
3583.0,93
3617.0,94
3629.0,95
3681.0,96
3718.0,96
3724.0,96
3766.0,97
3784.0,98
3879.0,99
3943.0,100
3947.0,101
4017.0,102
4043.0,102
4044.0,103
4090.0,104
4098.0,105
4148.0,106
4159.0,107
4171.0,108
4229.0,109
4308.0,110
4344.0,111
4344.0,111
4364.0,112
4376.0,113
4397.0,114
4439.0,115
4469.0,116
4498.0,117
4552.0,118
4554.0,119
4563.0,120
4692.0,121
4712.0,122
4822.0,123
4964.0,124
5044.0,125
5065.0,126
5081.0,127
5115.0,128
5165.0,129
5170.0,130
5363.0,131
5391.0,132
5394.0,132
5440.0,133
5451.0,133
5491.0,134
5502.0,134
5517.0,135
5587.0,136
5660.0,137
5689.0,137
5719.0,138
5763.0,139
5830.0,140
5848.0,141
5853.0,142
5855.0,143
5888.0,144
5926.0,145
5928.0,146
5947.0,147
5978.0,148
5989.0,149
5989.0,149
5993.0,150
6025.0,151
6068.0,152
6224.0,153
6241.0,154
6255.0,155
6259.0,156
6396.0,157
6446.0,158
6454.0,159
6467.0,160
6520.0,161
6534.0,162
6590.0,163
6630.0,164
6642.0,165
6702.0,166
6708.0,167
6710.0,168
6761.0,169
6766.0,170
6793.0,171
6817.0,172
6857.0,173
6859.0,174
6900.0,175
6981.0,176
6989.0,177
7032.0,178
7069.0,179
7105.0,180
7148.0,181
7181.0,182
7202.0,183
7301.0,184
7304.0,185
7305.0,186
7353.0,187
7370.0,188
7371.0,189
7384.0,190
7385.0,190
7427.0,191
7435.0,191
7475.0,192
7523.0,192
7543.0,193
7591.0,193
7600.0,194
7669.0,195
7692.0,196
7755.0,197
7867.0,198
7891.0,199
7950.0,200
8005.0,201
8048.0,201
8121.0,202
8216.0,203
8217.0,204
8221.0,205
8344.0,206
8346.0,206
8376.0,207
8382.0,207
8407.0,208
8424.0,209
8483.0,210
8516.0,211
8548.0,211
8577.0,212
8611.0,213
8647.0,214
8647.0,214
8703.0,214
8709.0,215
8769.0,216
8774.0,217
8825.0,218
8897.0,219
8901.0,220
9044.0,221
9063.0,221
9081.0,221
9101.0,222
9107.0,223
9224.0,223
9262.0,224
9283.0,224
9287.0,225
9322.0,226
9394.0,227
9421.0,227
9450.0,228
9477.0,229
9483.0,230
9527.0,231
9564.0,232
9584.0,233
9669.0,234
9807.0,235
9953.0,236
10021.0,237
10046.0,237
10253.0,238
10287.0,239
10318.0,240
10368.0,241
10410.0,242
10419.0,243
10499.0,243
10507.0,243
10521.0,244
10614.0,245
10649.0,246
10655.0,246
10664.0,247
10683.0,248
10687.0,249
10866.0,250
10870.0,251
10899.0,251
10970.0,252
10978.0,253
11046.0,254
11051.0,254
11105.0,255
11128.0,256
11212.0,257
11214.0,258
11284.0,259
11291.0,260
11311.0,261
11388.0,262
11415.0,263
11429.0,264
11513.0,265
11542.0,266
11749.0,266
11854.0,266
11888.0,267
12009.0,268
12021.0,269
12027.0,270
12066.0,271
12113.0,272
12132.0,273
12159.0,274
12179.0,274
12241.0,275
12266.0,276
12321.0,276
12356.0,277
12375.0,278
12378.0,278
12380.0,279
12421.0,280
12431.0,281
12432.0,282
12470.0,283
12494.0,284
12512.0,285
12576.0,286
12603.0,287
12616.0,287
12617.0,287
12742.0,288
12742.0,288
12762.0,289
12833.0,289
12851.0,289
12864.0,290
12910.0,291
13028.0,291
13045.0,292
13057.0,293
13063.0,294
13070.0,295
13113.0,296
13131.0,297
13158.0,298
13166.0,299
13167.0,300
13168.0,300
13182.0,301
13186.0,302
13212.0,303
13231.0,304
13280.0,305
13330.0,306
13334.0,306
13347.0,306
13351.0,307
13392.0,308
13457.0,308
13471.0,309
13526.0,310
13529.0,310
13539.0,311
13567.0,312
13587.0,313
13645.0,314
13658.0,315
13673.0,316
13752.0,316
13784.0,317
13809.0,318
13821.0,319
13841.0,320
13858.0,321
13875.0,322
13968.0,323
14016.0,324
14045.0,325
14078.0,326
14087.0,327
14136.0,327
14142.0,328
14161.0,329
14197.0,330
14331.0,331
14367.0,331
14377.0,331
14389.0,332
14396.0,333
14404.0,334
14418.0,335
14513.0,336
14544.0,337
14713.0,338
14735.0,339
14819.0,340
14832.0,341
14855.0,342
14879.0,342
14913.0,343
14927.0,344
14936.0,345
14960.0,346
14961.0,347
14972.0,347
15012.0,348
15049.0,349
15077.0,350
15080.0,351
15087.0,352
15256.0,353
15279.0,353
15286.0,354
15316.0,354
15349.0,354
15359.0,355
15397.0,355
15435.0,356
15458.0,357
15509.0,358
15514.0,358
15569.0,358
15709.0,359
15735.0,360
15764.0,360
15773.0,361
15830.0,362
15907.0,363
15974.0,364
15979.0,365
15982.0,365
16053.0,366
16084.0,367
16172.0,368
16243.0,369
16263.0,370
16278.0,371
16303.0,372
16308.0,372
16404.0,373
16425.0,374
16437.0,374
16478.0,375
16596.0,376
16609.0,377
16613.0,377
16679.0,378
16711.0,379
16711.0,379
16776.0,380
16792.0,381
16849.0,382
16885.0,383
16973.0,384
17002.0,385
17045.0,385
17124.0,386
17146.0,387
17153.0,388
17207.0,389
17250.0,390
17283.0,391
17301.0,392
17401.0,393
17423.0,394
17546.0,395
17583.0,396
17623.0,397
17709.0,398
17744.0,399
17803.0,400
17851.0,400
17858.0,401
17897.0,402
17907.0,403
17953.0,403
18062.0,404
18068.0,405
18145.0,406
18159.0,407
18196.0,407
18251.0,407
18282.0,408
18304.0,409
18322.0,410
18323.0,411
18345.0,412
18361.0,413
18451.0,413
18455.0,414
18469.0,414
18495.0,415
18521.0,416
18530.0,417
18537.0,418
18553.0,418
18555.0,419
18572.0,419
18592.0,420
18612.0,420
18614.0,420
18660.0,421
18695.0,422
18796.0,422
18819.0,423
19011.0,424
19060.0,424
19098.0,425
19156.0,426
19214.0,427
19252.0,427
19261.0,428
19274.0,429
19288.0,429
19291.0,430
19317.0,431
19342.0,432
19377.0,433
19377.0,433
19386.0,434
19453.0,435
19508.0,435
19522.0,436
19544.0,437
19552.0,438
19573.0,439
19597.0,439
19608.0,440
19614.0,441
19655.0,441
19660.0,442
19669.0,443
19681.0,444
19693.0,445
19730.0,446
19748.0,446
19757.0,446
19762.0,446
19773.0,446
19774.0,446
19796.0,447
19806.0,448
19901.0,449
19905.0,450
19907.0,451
19914.0,452
19944.0,452
20037.0,453
20055.0,454
20075.0,455
20089.0,456
20111.0,457
20135.0,458
20254.0,459
20259.0,459
20266.0,460
20294.0,461
20362.0,462
20363.0,463
20396.0,464
20409.0,465
20485.0,466
20513.0,467
20517.0,467
20531.0,468
20544.0,469
20556.0,469
20634.0,469
20651.0,470
20655.0,470
20670.0,470
20697.0,471
20704.0,471
20778.0,472
20779.0,473
20830.0,474
20875.0,474
20913.0,475
20959.0,476
20971.0,477
21031.0,477
21034.0,477
21062.0,477
21072.0,478
21083.0,478
21086.0,479
21120.0,480
21123.0,480
21142.0,480
21181.0,481
21202.0,482
21221.0,483
21236.0,484
21263.0,485
21379.0,486
21390.0,487
21403.0,488
21406.0,489
21444.0,490
21460.0,491
21506.0,491
21510.0,492
21539.0,493
21563.0,494
21635.0,495
21685.0,496
21706.0,497
21723.0,497
21728.0,498
21735.0,499
21760.0,500
21793.0,501
21848.0,502
21893.0,503
21972.0,504
21976.0,505
22001.0,505
22185.0,506
22187.0,507
22296.0,508
22324.0,509
22331.0,509
22333.0,510
22346.0,511
22348.0,511
22421.0,512
22483.0,512
22496.0,512
22523.0,513
22570.0,514
22601.0,514
22675.0,515
22690.0,516
22694.0,516
22713.0,516
22719.0,517
22769.0,518
22770.0,519
22823.0,519
22839.0,520
22905.0,521
22908.0,522
22923.0,522
22946.0,522
22974.0,523
22986.0,523
22988.0,524
22989.0,525
23021.0,526
23088.0,527
23106.0,528
23128.0,529
23151.0,530
23170.0,530
23280.0,531
23343.0,531
23366.0,532
23422.0,533
23427.0,534
23433.0,535
23435.0,535
23442.0,535
23454.0,536
23455.0,537
23464.0,538
23479.0,538
23527.0,539
23652.0,540
23656.0,541
23728.0,542
23745.0,542
23772.0,543
23780.0,544
23791.0,545
