Time,Active PDUs
0.0,0
10.0,1
19.0,2
34.0,3
40.0,4
42.0,5
50.0,6
60.0,7
62.0,8
65.0,9
67.0,10
69.0,11
76.0,12
82.0,13
83.0,14
110.0,15
129.0,16
136.0,17
137.0,18
143.0,19
153.0,20
175.0,21
178.0,22
180.0,23
185.0,24
194.0,25
206.0,26
218.0,27
236.0,28
243.0,29
257.0,30
258.0,31
273.0,32
281.0,33
285.0,34
287.0,35
290.0,36
295.0,37
327.0,38
328.0,39
331.0,40
337.0,41
340.0,42
380.0,43
385.0,44
388.0,45
395.0,46
399.0,47
403.0,48
411.0,49
415.0,50
417.0,51
420.0,52
439.0,53
446.0,54
455.0,55
462.0,56
486.0,57
513.0,58
514.0,59
532.0,60
543.0,61
564.0,62
565.0,63
581.0,64
594.0,65
604.0,66
613.0,67
630.0,68
638.0,69
644.0,70
649.0,71
650.0,72
651.0,73
656.0,74
658.0,75
662.0,76
682.0,77
688.0,78
733.0,79
743.0,80
755.0,81
767.0,82
770.0,83
785.0,84
810.0,85
818.0,86
821.0,87
832.0,88
854.0,89
858.0,88
879.0,89
883.0,90
905.0,91
909.0,92
929.0,93
939.0,94
957.0,95
962.0,96
974.0,97
982.0,98
990.0,99
991.0,100
1024.0,101
1027.0,102
1033.0,103
1039.0,104
1066.0,105
1077.0,106
1116.0,107
1123.0,108
1125.0,109
1144.0,110
1145.0,111
1149.0,112
1173.0,113
1175.0,114
1192.0,115
1198.0,116
1235.0,117
1243.0,118
1278.0,119
1279.0,120
1286.0,121
1309.0,122
1326.0,123
1332.0,124
1343.0,125
1355.0,126
1356.0,127
1358.0,128
1361.0,129
1365.0,130
1398.0,131
1405.0,132
1414.0,133
1415.0,134
1420.0,135
1424.0,136
1435.0,137
1436.0,138
1455.0,139
1459.0,140
1472.0,141
1481.0,142
1495.0,143
1500.0,144
1502.0,145
1506.0,146
1508.0,147
1515.0,148
1518.0,149
1545.0,150
1551.0,151
1575.0,152
1583.0,153
1584.0,154
1591.0,155
1607.0,156
1608.0,157
1616.0,158
1621.0,159
1642.0,160
1659.0,161
1665.0,162
1674.0,163
1675.0,164
1698.0,165
1703.0,166
1705.0,167
1709.0,168
1711.0,169
1729.0,170
1733.0,171
1734.0,172
1751.0,173
1775.0,174
1785.0,175
1794.0,176
1800.0,177
1812.0,178
1825.0,179
1833.0,180
1834.0,181
1835.0,180
1844.0,179
1846.0,180
1862.0,181
1886.0,182
1892.0,183
1910.0,184
1931.0,185
1961.0,186
1962.0,187
1968.0,188
1970.0,189
1978.0,190
1980.0,191
1999.0,192
2000.0,193
2009.0,194
2010.0,195
2038.0,194
2042.0,195
2051.0,196
2058.0,195
2061.0,196
2063.0,197
2068.0,198
2077.0,199
2102.0,200
2109.0,201
2111.0,202
2118.0,203
2121.0,204
2122.0,205
2136.0,206
2139.0,207
2151.0,208
2158.0,209
2161.0,210
2167.0,211
2175.0,212
2212.0,213
2252.0,214
2274.0,215
2276.0,216
2302.0,217
2314.0,218
2328.0,219
2329.0,220
2350.0,221
2366.0,222
2367.0,223
2370.0,224
2373.0,225
2402.0,226
2405.0,227
2409.0,228
2423.0,227
2440.0,228
2457.0,229
2470.0,230
2471.0,231
2478.0,232
2483.0,233
2498.0,234
2550.0,235
2567.0,236
2595.0,237
2616.0,238
2622.0,239
2623.0,240
2634.0,241
2637.0,242
2675.0,243
2682.0,244
2684.0,245
2686.0,246
2688.0,247
2698.0,248
2708.0,249
2725.0,250
2727.0,251
2730.0,252
2739.0,253
2773.0,254
2780.0,255
2801.0,256
2809.0,257
2814.0,258
2829.0,259
2839.0,260
2843.0,261
2849.0,262
2865.0,263
2867.0,264
2877.0,265
2885.0,266
2894.0,267
2899.0,268
2902.0,269
2905.0,270
2920.0,269
2928.0,270
2961.0,271
2962.0,272
2967.0,273
3028.0,274
3050.0,275
3052.0,276
3057.0,277
3069.0,278
3080.0,279
3105.0,280
3117.0,281
3123.0,282
3131.0,283
3133.0,284
3146.0,285
3157.0,286
3166.0,287
3173.0,286
3177.0,287
3178.0,288
3186.0,289
3189.0,290
3198.0,291
3208.0,292
3215.0,293
3221.0,294
3230.0,295
3251.0,296
3269.0,297
3271.0,298
3273.0,299
3279.0,300
3298.0,301
3316.0,302
3340.0,303
3341.0,304
3344.0,305
3360.0,306
3365.0,307
3373.0,308
3379.0,309
3382.0,310
3384.0,311
3391.0,312
3401.0,313
3413.0,314
3415.0,315
3441.0,316
3444.0,317
3460.0,318
3467.0,319
3471.0,320
3476.0,321
3489.0,322
3511.0,323
3519.0,324
3539.0,325
3550.0,326
3578.0,327
3598.0,328
3619.0,329
3624.0,330
3628.0,331
3629.0,332
3630.0,333
3647.0,334
3649.0,335
3655.0,336
3659.0,337
3703.0,338
3704.0,339
3718.0,340
3721.0,341
3739.0,340
3756.0,341
3757.0,342
3783.0,343
3784.0,342
3800.0,343
3811.0,344
3827.0,345
3840.0,344
3856.0,345
3859.0,346
3863.0,347
3864.0,348
3865.0,349
3913.0,350
3947.0,351
3961.0,352
3981.0,353
3988.0,354
4002.0,355
4010.0,356
4010.0,355
4013.0,356
4014.0,357
4026.0,358
4028.0,359
4030.0,360
4033.0,361
4045.0,360
4062.0,361
4072.0,362
4081.0,363
4084.0,364
4099.0,365
4100.0,366
4106.0,367
4112.0,368
4148.0,369
4173.0,370
4183.0,371
4184.0,372
4196.0,373
4218.0,374
4233.0,375
4240.0,376
4251.0,377
4268.0,378
4282.0,379
4302.0,380
4307.0,381
4310.0,382
4326.0,383
4335.0,384
4336.0,385
4337.0,386
4339.0,387
4351.0,388
4376.0,389
4417.0,390
4427.0,391
4434.0,390
4437.0,391
4438.0,392
4447.0,391
4461.0,392
4470.0,393
4471.0,394
4472.0,395
4473.0,396
4495.0,397
4497.0,398
4542.0,399
4546.0,400
4552.0,401
4560.0,402
4561.0,403
4562.0,404
4572.0,405
4588.0,406
4592.0,407
