Time,UPFs
0.0,0
9.0,1
18.0,1
19.0,1
37.0,1
41.0,1
56.0,1
63.0,1
64.0,1
77.0,2
87.0,2
97.0,2
124.0,2
177.0,2
181.0,2
184.0,2
186.0,2
202.0,3
210.0,3
216.0,3
238.0,3
250.0,3
261.0,3
264.0,3
270.0,3
328.0,4
342.0,4
347.0,4
358.0,4
364.0,4
376.0,4
381.0,4
383.0,4
390.0,5
392.0,5
395.0,5
399.0,5
404.0,5
405.0,5
414.0,5
431.0,5
435.0,6
440.0,6
452.0,6
479.0,6
489.0,6
519.0,6
523.0,6
525.0,6
526.0,7
529.0,7
539.0,7
546.0,7
547.0,7
569.0,7
584.0,7
586.0,7
594.0,8
608.0,8
631.0,8
633.0,8
636.0,8
646.0,8
648.0,8
651.0,8
658.0,9
676.0,9
681.0,9
689.0,9
692.0,9
699.0,9
707.0,9
722.0,9
740.0,9
745.0,9
747.0,10
749.0,10
761.0,10
770.0,10
798.0,10
816.0,10
820.0,10
821.0,10
838.0,10
843.0,10
850.0,11
851.0,11
855.0,11
882.0,11
884.0,11
885.0,11
893.0,11
908.0,11
911.0,12
912.0,12
917.0,12
958.0,12
979.0,12
983.0,12
984.0,12
999.0,12
1025.0,13
1033.0,13
1039.0,13
1050.0,13
1056.0,13
1072.0,13
1082.0,13
1108.0,13
1114.0,14
1120.0,14
1122.0,14
1140.0,14
1147.0,14
1151.0,14
1163.0,14
1167.0,14
1213.0,15
1223.0,15
1259.0,15
1271.0,15
1278.0,15
1280.0,15
1285.0,15
1304.0,15
1305.0,16
1309.0,16
1311.0,16
1352.0,16
1359.0,16
1364.0,16
1371.0,16
1389.0,16
1402.0,17
1405.0,17
1415.0,17
1421.0,17
1425.0,17
1429.0,17
1436.0,17
1462.0,17
1471.0,18
1481.0,18
1482.0,18
1485.0,18
1499.0,18
1503.0,18
1513.0,18
1515.0,18
1516.0,19
1549.0,19
1551.0,19
1558.0,19
1567.0,19
1573.0,19
1575.0,19
1595.0,19
1611.0,20
1615.0,20
1619.0,20
1629.0,20
1631.0,20
1633.0,20
1640.0,20
1654.0,20
1659.0,20
1663.0,20
1693.0,20
1706.0,20
1713.0,20
1715.0,20
1726.0,20
1748.0,20
