Time,Free Slots
0.0,0
2.0,7
3.0,6
4.0,5
14.0,4
18.0,3
20.0,2
30.0,1
33.0,0
36.0,7
43.0,6
59.0,5
68.0,4
72.0,3
73.0,2
87.0,1
89.0,0
102.0,7
103.0,6
104.0,5
109.0,4
110.0,3
116.0,2
129.0,1
130.0,0
139.0,7
142.0,6
173.0,5
183.0,4
185.0,3
193.0,2
203.0,1
208.0,0
215.0,7
218.0,6
224.0,5
235.0,4
246.0,3
254.0,2
273.0,1
274.0,0
278.0,7
285.0,6
289.0,5
293.0,4
298.0,3
304.0,2
328.0,1
338.0,0
339.0,7
340.0,6
347.0,5
349.0,4
358.0,3
364.0,2
375.0,1
384.0,0
394.0,7
395.0,6
420.0,5
421.0,4
426.0,3
428.0,2
433.0,1
434.0,0
438.0,7
439.0,6
443.0,5
456.0,4
457.0,3
467.0,2
470.0,1
476.0,0
478.0,7
483.0,6
486.0,5
505.0,4
525.0,3
530.0,2
539.0,1
543.0,0
550.0,7
557.0,6
564.0,5
568.0,4
573.0,3
578.0,2
598.0,1
602.0,0
604.0,7
615.0,6
617.0,5
627.0,4
628.0,3
630.0,2
646.0,1
674.0,0
683.0,7
692.0,6
693.0,5
697.0,4
699.0,3
702.0,2
717.0,1
718.0,0
724.0,7
728.0,6
730.0,5
744.0,4
753.0,3
756.0,2
761.0,1
764.0,0
767.0,7
774.0,6
784.0,5
789.0,4
805.0,3
807.0,2
808.0,1
809.0,0
820.0,7
825.0,6
828.0,5
846.0,4
847.0,3
861.0,2
880.0,1
881.0,0
884.0,7
886.0,6
895.0,5
897.0,4
898.0,3
900.0,2
909.0,1
914.0,0
944.0,7
946.0,6
950.0,5
960.0,4
964.0,3
967.0,2
968.0,1
969.0,0
970.0,7
981.0,6
982.0,5
984.0,4
994.0,3
997.0,2
1015.0,1
1021.0,0
1045.0,7
1046.0,6
1049.0,5
1064.0,4
1065.0,3
1076.0,2
1077.0,3
1081.0,2
1089.0,1
1100.0,0
1105.0,7
