Time,Free Slots
0.0,0
2.0,7
4.0,6
10.0,5
11.0,4
18.0,11
34.0,10
37.0,9
42.0,8
49.0,7
55.0,6
61.0,5
66.0,4
68.0,11
72.0,10
77.0,9
85.0,8
98.0,7
99.0,6
102.0,5
113.0,4
122.0,11
129.0,10
135.0,9
137.0,8
142.0,7
144.0,6
147.0,5
148.0,4
149.0,11
157.0,10
159.0,9
160.0,8
166.0,7
169.0,6
182.0,5
184.0,4
191.0,11
198.0,10
199.0,9
221.0,8
224.0,7
231.0,6
240.0,5
248.0,4
252.0,11
260.0,10
274.0,9
280.0,8
282.0,7
288.0,6
292.0,5
301.0,4
310.0,11
312.0,10
328.0,9
330.0,8
334.0,7
335.0,6
375.0,5
381.0,4
383.0,11
390.0,10
404.0,9
429.0,8
439.0,7
449.0,6
450.0,5
453.0,4
456.0,11
460.0,10
461.0,9
466.0,8
475.0,7
483.0,6
501.0,5
513.0,4
514.0,11
519.0,10
523.0,9
530.0,8
544.0,7
552.0,6
562.0,5
570.0,4
574.0,11
578.0,10
582.0,9
583.0,8
591.0,7
598.0,6
601.0,5
604.0,4
608.0,11
612.0,10
616.0,9
627.0,8
635.0,7
654.0,6
664.0,5
670.0,4
672.0,11
681.0,10
685.0,9
689.0,8
694.0,7
696.0,6
702.0,5
720.0,4
727.0,11
732.0,10
742.0,9
744.0,8
746.0,7
750.0,6
760.0,5
768.0,4
772.0,11
776.0,10
780.0,9
785.0,8
788.0,7
791.0,8
793.0,7
798.0,6
800.0,5
809.0,4
811.0,11
818.0,10
821.0,9
825.0,8
826.0,7
830.0,6
838.0,5
840.0,4
851.0,11
854.0,10
855.0,9
858.0,8
876.0,7
880.0,6
893.0,5
895.0,4
896.0,11
898.0,10
901.0,9
904.0,8
909.0,7
921.0,6
927.0,5
950.0,4
951.0,11
954.0,10
982.0,9
986.0,8
993.0,7
994.0,6
995.0,5
996.0,4
1009.0,11
1010.0,10
1014.0,9
1027.0,8
1036.0,7
1039.0,6
