Time,UPFs
0.0,0
5.0,1
15.0,1
27.0,1
35.0,1
54.0,2
66.0,2
68.0,2
81.0,2
90.0,2
99.0,2
101.0,2
104.0,2
112.0,3
113.0,3
117.0,3
121.0,3
132.0,3
134.0,3
139.0,3
145.0,3
146.0,4
154.0,4
167.0,4
172.0,4
173.0,4
174.0,4
178.0,4
180.0,4
185.0,5
194.0,5
196.0,5
197.0,5
200.0,5
201.0,5
204.0,5
217.0,5
224.0,6
225.0,6
230.0,6
244.0,6
250.0,6
252.0,6
255.0,6
258.0,6
260.0,7
263.0,7
273.0,7
274.0,7
279.0,7
285.0,7
290.0,7
300.0,7
307.0,8
309.0,8
313.0,8
334.0,8
352.0,8
357.0,8
365.0,8
368.0,8
385.0,9
387.0,9
396.0,9
402.0,9
403.0,9
414.0,9
419.0,9
425.0,9
427.0,10
437.0,10
450.0,10
451.0,10
460.0,10
468.0,10
482.0,10
503.0,10
506.0,11
516.0,11
526.0,11
531.0,11
534.0,11
539.0,11
549.0,11
562.0,11
564.0,12
571.0,12
577.0,12
593.0,12
595.0,12
599.0,12
602.0,12
608.0,12
609.0,13
621.0,13
627.0,13
634.0,13
660.0,13
676.0,13
686.0,13
690.0,13
700.0,14
716.0,14
717.0,14
724.0,14
736.0,14
752.0,14
753.0,14
761.0,14
768.0,15
772.0,15
785.0,15
790.0,15
798.0,15
805.0,15
814.0,15
817.0,15
830.0,16
842.0,16
859.0,16
863.0,16
868.0,16
869.0,16
871.0,16
872.0,16
876.0,17
884.0,17
890.0,17
912.0,17
923.0,17
950.0,17
954.0,17
958.0,17
960.0,18
968.0,18
970.0,18
978.0,18
991.0,18
992.0,18
994.0,18
998.0,18
1002.0,19
1003.0,19
1010.0,19
1014.0,19
1025.0,19
1027.0,19
1028.0,19
1032.0,19
1034.0,20
1038.0,20
1043.0,20
1046.0,20
1048.0,20
1050.0,20
1055.0,20
1056.0,20
1058.0,21
1069.0,21
1078.0,21
1079.0,21
1088.0,21
1098.0,21
1105.0,21
1113.0,21
1129.0,22
1155.0,22
1159.0,22
1162.0,22
1172.0,22
1179.0,22
1184.0,22
1185.0,22
1188.0,23
1190.0,23
1198.0,23
1199.0,23
1200.0,23
1220.0,23
1230.0,23
1233.0,23
1235.0,24
1241.0,24
1251.0,24
1252.0,24
1257.0,24
1260.0,24
1265.0,24
1286.0,24
1287.0,25
1294.0,25
1297.0,25
1311.0,25
1325.0,25
1330.0,25
1336.0,25
1345.0,25
1348.0,26
1350.0,26
1354.0,26
1359.0,26
1368.0,26
1371.0,26
1380.0,26
1390.0,26
1396.0,27
1398.0,27
1416.0,27
1417.0,27
1423.0,27
1431.0,27
1454.0,27
1461.0,27
1463.0,28
1466.0,28
1475.0,28
1478.0,28
1479.0,28
1490.0,28
1495.0,28
1516.0,28
1518.0,29
1519.0,29
