Time,PDUs
0.0,0
13.0,1
36.0,2
81.0,3
103.0,4
108.0,5
158.0,6
172.0,7
173.0,8
183.0,9
203.0,10
217.0,11
256.0,12
266.0,13
267.0,14
280.0,15
295.0,16
301.0,17
314.0,18
321.0,19
332.0,20
377.0,21
415.0,22
417.0,23
421.0,24
467.0,25
472.0,26
476.0,27
489.0,28
503.0,29
534.0,30
569.0,31
585.0,32
588.0,33
641.0,34
648.0,35
664.0,36
667.0,37
683.0,38
700.0,39
706.0,40
710.0,40
719.0,41
725.0,42
729.0,43
751.0,44
756.0,45
793.0,46
803.0,47
812.0,48
855.0,49
865.0,50
887.0,51
972.0,52
994.0,53
1004.0,54
1015.0,55
1016.0,56
1055.0,57
1099.0,58
1118.0,59
1121.0,60
1154.0,61
1157.0,62
1167.0,63
1197.0,64
1239.0,65
1252.0,66
1255.0,67
1265.0,67
1305.0,68
1330.0,69
1345.0,70
1364.0,71
1369.0,72
1379.0,73
1390.0,74
1393.0,75
1440.0,76
1441.0,77
1452.0,78
1480.0,79
1518.0,80
1532.0,81
1587.0,82
1608.0,83
1656.0,84
1675.0,85
1702.0,86
1706.0,87
1718.0,88
1726.0,89
1770.0,90
1772.0,91
1808.0,92
1834.0,93
1842.0,94
1854.0,95
1869.0,96
1881.0,97
1897.0,98
1901.0,99
2019.0,100
2024.0,101
2026.0,102
2029.0,103
2050.0,104
2054.0,105
2058.0,106
2086.0,107
2101.0,108
2121.0,109
2145.0,110
2192.0,111
2199.0,112
2211.0,112
2223.0,113
2264.0,114
2339.0,114
2350.0,115
2354.0,116
2405.0,117
2515.0,118
2518.0,119
2522.0,120
2549.0,121
2590.0,122
2596.0,123
2617.0,124
2619.0,125
2621.0,126
2631.0,127
2645.0,128
2652.0,129
2668.0,130
2669.0,131
2689.0,132
2692.0,133
2785.0,134
2792.0,135
2816.0,136
2818.0,137
2836.0,138
2844.0,139
2868.0,140
2873.0,141
2909.0,142
2952.0,143
2965.0,144
2973.0,145
2974.0,146
2975.0,147
3003.0,148
3004.0,148
3012.0,149
3019.0,150
3077.0,151
3087.0,152
3119.0,153
3145.0,154
3156.0,155
3161.0,156
3190.0,157
3191.0,158
3199.0,159
3219.0,160
3260.0,161
3300.0,162
3323.0,163
3355.0,164
3396.0,165
3421.0,166
3424.0,167
3440.0,168
3447.0,169
3460.0,170
3477.0,170
3513.0,171
3537.0,172
3538.0,173
3542.0,174
3558.0,175
3560.0,176
3566.0,177
3586.0,178
3588.0,179
3614.0,180
3636.0,181
3658.0,182
3688.0,183
3693.0,184
3758.0,185
3775.0,186
3779.0,187
3796.0,188
3798.0,189
3800.0,190
3826.0,191
3827.0,192
3844.0,193
3893.0,194
3897.0,194
3899.0,195
3917.0,196
3946.0,197
3951.0,198
3965.0,199
3982.0,200
3985.0,201
4006.0,202
4030.0,203
4057.0,204
4065.0,205
4072.0,206
4080.0,207
4085.0,208
4091.0,209
4092.0,210
4117.0,211
4120.0,212
4148.0,213
4165.0,214
4169.0,214
4182.0,215
4204.0,216
4274.0,217
4275.0,218
4286.0,219
4289.0,220
4304.0,221
4313.0,222
4320.0,223
4339.0,224
4342.0,224
4400.0,225
4411.0,226
4464.0,227
4464.0,227
4475.0,228
4488.0,229
4535.0,230
4578.0,231
4622.0,232
4627.0,233
4631.0,234
4645.0,235
4666.0,236
4675.0,237
4719.0,238
4731.0,239
4737.0,240
