Time,Active UPFs
0.0,0
35.0,1
44.0,1
54.0,1
89.0,1
98.0,2
139.0,2
146.0,2
171.0,2
189.0,2
199.0,2
261.0,2
275.0,2
287.0,3
289.0,3
314.0,3
315.0,3
318.0,3
325.0,3
409.0,3
412.0,3
415.0,4
427.0,4
485.0,4
510.0,4
559.0,4
563.0,4
569.0,4
594.0,4
608.0,5
622.0,5
703.0,5
721.0,5
723.0,5
724.0,5
726.0,5
787.0,5
789.0,6
791.0,6
814.0,6
820.0,6
830.0,6
841.0,6
871.0,6
887.0,6
919.0,7
1013.0,7
1043.0,7
1048.0,7
1074.0,7
1094.0,7
1099.0,7
1106.0,7
1110.0,8
1143.0,8
1150.0,8
1176.0,8
1178.0,8
1242.0,8
1244.0,8
1277.0,8
1290.0,9
1296.0,9
1327.0,9
1341.0,9
1353.0,9
1387.0,9
1406.0,9
1430.0,9
1451.0,10
1470.0,10
1474.0,10
1476.0,10
1525.0,10
1526.0,10
1528.0,10
1551.0,10
1579.0,11
1594.0,11
1597.0,11
1613.0,11
1646.0,11
1780.0,11
1784.0,11
1810.0,11
1840.0,12
1846.0,12
1905.0,12
1931.0,12
1936.0,12
1946.0,12
1957.0,12
2004.0,12
2050.0,13
2061.0,13
2069.0,13
2077.0,13
2097.0,13
2100.0,13
2110.0,13
2111.0,13
2115.0,14
2129.0,14
2131.0,14
2154.0,14
2164.0,14
2191.0,14
2199.0,14
2208.0,14
2210.0,15
2253.0,15
2254.0,15
2255.0,15
2277.0,15
2311.0,15
2331.0,15
2375.0,15
2399.0,15
2416.0,15
2420.0,15
2469.0,15
2492.0,15
2507.0,15
2523.0,16
2539.0,16
2549.0,16
2558.0,16
2585.0,16
2592.0,16
2623.0,16
2665.0,16
2692.0,17
2698.0,17
2707.0,17
2708.0,17
2766.0,17
2796.0,17
2832.0,17
2836.0,17
2845.0,17
2862.0,17
2865.0,18
2877.0,18
2908.0,18
2916.0,18
2917.0,18
2955.0,18
2957.0,18
3035.0,18
3047.0,19
3057.0,19
3068.0,19
3072.0,19
3096.0,19
3109.0,19
3132.0,19
3143.0,19
3147.0,20
3169.0,20
3210.0,20
3215.0,20
3219.0,20
3252.0,20
3285.0,20
3287.0,20
3349.0,21
3355.0,21
3359.0,21
3368.0,21
3409.0,21
3456.0,21
3470.0,21
3503.0,21
3518.0,21
3574.0,21
3578.0,22
3594.0,22
3595.0,22
3612.0,22
3617.0,22
3674.0,22
3675.0,22
3688.0,22
3719.0,23
3731.0,23
3780.0,23
3782.0,23
3787.0,23
3792.0,23
3809.0,23
3858.0,23
3865.0,24
3937.0,24
3947.0,24
4014.0,24
4041.0,24
4079.0,24
4087.0,24
4153.0,24
4168.0,25
4216.0,25
4217.0,25
4222.0,25
4261.0,25
4279.0,25
4291.0,25
4321.0,25
4330.0,26
4341.0,26
4345.0,26
4376.0,26
4383.0,26
4415.0,26
4436.0,26
4441.0,26
4470.0,27
4483.0,27
4496.0,27
4497.0,27
4499.0,27
4506.0,27
4512.0,27
4522.0,27
4532.0,28
4540.0,28
4557.0,28
4602.0,28
4642.0,28
4652.0,28
4665.0,28
4677.0,28
4680.0,28
4717.0,28
4728.0,28
4735.0,28
4758.0,29
4797.0,29
4805.0,29
4816.0,29
4851.0,29
4859.0,29
4864.0,29
4883.0,29
4916.0,30
4927.0,30
4989.0,30
5067.0,30
5087.0,30
5089.0,30
5107.0,30
5124.0,30
5134.0,30
5135.0,30
5141.0,31
5168.0,31
5181.0,31
5216.0,31
5247.0,31
5258.0,31
5267.0,31
5275.0,31
5335.0,32
5337.0,32
5338.0,32
5348.0,32
5354.0,32
5355.0,32
5359.0,32
5369.0,32
5399.0,33
5401.0,33
5436.0,33
5445.0,33
5462.0,33
5469.0,33
5487.0,33
5498.0,33
5506.0,34
5509.0,34
5515.0,34
5535.0,34
5544.0,34
5580.0,34
5588.0,34
5589.0,34
5594.0,34
5608.0,34
5612.0,35
5616.0,35
5636.0,35
5664.0,35
5666.0,35
5714.0,35
5724.0,35
5732.0,35
5741.0,35
5762.0,35
5766.0,36
5768.0,36
5829.0,36
5836.0,36
5886.0,36
5937.0,36
5938.0,36
5950.0,36
5955.0,36
5957.0,36
5963.0,37
5970.0,37
5983.0,37
5999.0,37
6013.0,37
6032.0,37
6065.0,37
6083.0,37
6085.0,37
6092.0,37
6111.0,38
6128.0,38
6162.0,38
6183.0,38
6196.0,38
6196.0,38
6242.0,38
6286.0,38
6291.0,38
6310.0,38
6330.0,38
6339.0,38
6346.0,39
6355.0,39
6377.0,39
6380.0,39
6386.0,39
6423.0,39
6424.0,39
6427.0,39
6445.0,40
6466.0,40
6467.0,40
6480.0,40
