Time,Active UPFs
0.0,0
17.0,1
35.0,1
130.0,1
132.0,1
144.0,2
191.0,2
193.0,2
247.0,2
284.0,2
309.0,2
312.0,2
346.0,2
418.0,3
433.0,3
518.0,3
532.0,3
539.0,3
558.0,3
601.0,3
608.0,3
639.0,4
640.0,4
686.0,4
692.0,4
695.0,4
697.0,4
711.0,4
715.0,4
750.0,5
774.0,5
818.0,5
832.0,5
841.0,5
939.0,5
942.0,5
971.0,5
984.0,6
989.0,6
1056.0,6
1078.0,6
1189.0,6
1198.0,6
1199.0,6
1205.0,6
1300.0,7
1331.0,7
1358.0,7
1365.0,7
1380.0,7
1392.0,7
1410.0,7
1435.0,7
1444.0,8
1459.0,8
1500.0,8
1526.0,8
1558.0,8
1566.0,8
1569.0,8
1592.0,8
1611.0,8
1612.0,8
1653.0,9
1715.0,9
1724.0,9
1742.0,9
1749.0,9
1750.0,9
1776.0,9
1798.0,9
1810.0,10
1824.0,10
1831.0,10
1833.0,10
1844.0,10
1861.0,10
1883.0,10
1894.0,10
1901.0,11
2004.0,11
2005.0,11
2025.0,11
2072.0,11
2097.0,11
2150.0,11
2155.0,11
2185.0,12
2230.0,12
2255.0,12
2260.0,12
2293.0,12
2299.0,12
2308.0,12
2316.0,12
2329.0,13
2347.0,13
2375.0,13
2409.0,13
2439.0,13
2481.0,13
2484.0,13
2486.0,13
2503.0,13
2558.0,13
2559.0,14
2564.0,14
2576.0,14
2607.0,14
2621.0,14
2648.0,14
2701.0,14
2728.0,14
2738.0,14
2769.0,14
2773.0,14
2779.0,14
2856.0,14
2864.0,14
2886.0,14
2901.0,14
2970.0,15
3003.0,15
3006.0,15
3064.0,15
3071.0,15
3082.0,15
3089.0,15
3113.0,15
3119.0,16
3120.0,16
3161.0,16
3167.0,16
3180.0,16
3216.0,16
3223.0,16
3279.0,16
3309.0,17
3317.0,17
3327.0,17
3363.0,17
3376.0,17
3395.0,17
3403.0,17
3415.0,17
3423.0,18
3451.0,18
3463.0,18
3475.0,18
3491.0,18
3550.0,18
3563.0,18
3569.0,18
3570.0,19
3576.0,19
3577.0,19
3581.0,19
3593.0,19
3602.0,19
3625.0,19
3628.0,19
3655.0,20
3664.0,20
3693.0,20
3693.0,20
3710.0,20
3714.0,20
3724.0,20
3780.0,20
3790.0,20
3844.0,20
3853.0,21
3863.0,21
3877.0,21
3880.0,21
3915.0,21
3924.0,21
3925.0,21
3935.0,21
3956.0,22
3992.0,22
4017.0,22
4024.0,22
4061.0,22
4086.0,22
4103.0,22
4104.0,22
4130.0,22
4149.0,22
4157.0,23
4169.0,23
4188.0,23
4190.0,23
4198.0,23
4204.0,23
4206.0,23
4218.0,23
4249.0,24
4254.0,24
4281.0,24
4304.0,24
4306.0,24
4335.0,24
4346.0,24
4370.0,24
4397.0,25
4419.0,25
4434.0,25
4465.0,25
4508.0,25
4517.0,25
4617.0,25
4680.0,25
4693.0,26
4723.0,26
4725.0,26
4728.0,26
4738.0,26
4789.0,26
4794.0,26
4819.0,26
4830.0,27
4838.0,27
4880.0,27
4883.0,27
4891.0,27
4894.0,27
4900.0,27
4919.0,27
4924.0,27
4943.0,27
4968.0,27
4970.0,27
4974.0,28
4978.0,28
4993.0,28
5025.0,28
5028.0,28
5030.0,28
5037.0,28
5082.0,28
5130.0,28
5219.0,28
5243.0,29
5246.0,29
5264.0,29
5289.0,29
5293.0,29
5296.0,29
5299.0,29
5366.0,29
5376.0,30
5384.0,30
5384.0,30
5400.0,30
5415.0,30
5420.0,30
5443.0,30
5447.0,30
5480.0,30
5526.0,30
5553.0,30
5565.0,30
5578.0,30
5579.0,30
5593.0,30
5657.0,30
5689.0,30
5699.0,30
5728.0,31
5742.0,31
5746.0,31
5772.0,31
5796.0,31
5806.0,31
5812.0,31
5816.0,31
5821.0,32
5829.0,32
5837.0,32
5847.0,32
5848.0,32
5909.0,32
5917.0,32
5984.0,32
5989.0,33
5993.0,33
5995.0,33
6010.0,33
6020.0,33
6037.0,33
6052.0,33
6056.0,33
6058.0,34
6074.0,34
6132.0,34
6157.0,34
6227.0,34
6243.0,34
6279.0,34
6281.0,34
6287.0,35
6293.0,35
6312.0,35
6350.0,35
6355.0,35
6379.0,35
6417.0,35
6442.0,35
6445.0,36
6470.0,36
6478.0,36
6491.0,36
6491.0,36
6495.0,36
6504.0,36
6518.0,36
6539.0,36
6541.0,36
6549.0,36
6560.0,36
6609.0,37
6617.0,37
6634.0,37
6687.0,37
6691.0,37
6720.0,37
6733.0,37
6745.0,37
6758.0,37
6809.0,37
6820.0,38
6839.0,38
6846.0,38
6877.0,38
6889.0,38
6911.0,38
6918.0,38
6934.0,38
6938.0,39
7008.0,39
7022.0,39
7026.0,39
7033.0,39
7038.0,39
7053.0,39
7055.0,39
7064.0,39
7075.0,39
7079.0,39
7130.0,39
7131.0,39
7152.0,39
7197.0,40
7221.0,40
7241.0,40
7247.0,40
7325.0,40
7326.0,40
7340.0,40
7351.0,40
7361.0,40
7399.0,40
7405.0,40
7411.0,40
7469.0,40
7475.0,40
7487.0,41
7517.0,41
7527.0,41
7529.0,41
7588.0,41
7594.0,41
7624.0,41
7625.0,41
7639.0,41
7654.0,41
7684.0,42
7709.0,42
7722.0,42
7738.0,42
7746.0,42
7758.0,42
7761.0,42
7773.0,42
7785.0,42
7792.0,42
7797.0,42
7808.0,42
7821.0,43
7859.0,43
7880.0,43
7887.0,43
7897.0,43
7909.0,43
7942.0,43
7949.0,43
7976.0,43
7992.0,43
8001.0,44
8015.0,44
8016.0,44
8017.0,44
8020.0,44
8051.0,44
8095.0,44
8117.0,44
8123.0,44
8130.0,44
8154.0,45
8173.0,45
8226.0,45
8245.0,45
8248.0,45
8277.0,45
8303.0,45
8319.0,45
8333.0,46
8403.0,46
8416.0,46
8460.0,46
8468.0,46
8485.0,46
8508.0,46
8513.0,46
8585.0,46
8592.0,46
8608.0,47
8669.0,47
8709.0,47
8710.0,47
8777.0,47
8814.0,47
8887.0,47
8899.0,47
8925.0,48
8941.0,48
8946.0,48
8964.0,48
8992.0,48
8998.0,48
9002.0,48
9016.0,48
9055.0,48
9066.0,48
9088.0,49
9089.0,49
9098.0,49
