Time,PDUs
0.0,0
21.0,1
28.0,2
30.0,3
44.0,4
53.0,5
77.0,6
79.0,7
81.0,8
86.0,9
89.0,10
91.0,11
95.0,12
106.0,13
111.0,14
112.0,15
114.0,16
134.0,17
146.0,18
147.0,19
151.0,20
156.0,21
173.0,22
181.0,23
186.0,24
188.0,25
198.0,26
214.0,27
231.0,28
233.0,29
236.0,30
239.0,31
242.0,32
248.0,33
259.0,34
288.0,35
290.0,36
302.0,37
311.0,38
312.0,39
313.0,40
320.0,41
321.0,42
324.0,43
331.0,44
336.0,45
345.0,46
351.0,47
356.0,48
360.0,49
361.0,50
368.0,51
373.0,52
375.0,53
385.0,54
386.0,55
388.0,56
400.0,57
414.0,58
416.0,59
422.0,60
438.0,61
439.0,62
443.0,63
457.0,64
462.0,65
464.0,66
467.0,67
470.0,68
479.0,69
503.0,70
505.0,71
508.0,72
509.0,73
514.0,74
517.0,75
519.0,76
524.0,77
526.0,78
536.0,79
545.0,80
552.0,81
558.0,82
571.0,83
573.0,84
579.0,85
580.0,86
582.0,87
584.0,88
588.0,89
589.0,90
590.0,91
604.0,92
612.0,93
618.0,94
620.0,95
622.0,96
636.0,96
643.0,97
646.0,98
662.0,99
673.0,100
674.0,101
690.0,102
691.0,103
699.0,104
701.0,105
709.0,106
711.0,107
713.0,108
723.0,109
736.0,110
742.0,111
746.0,112
748.0,113
752.0,114
759.0,115
764.0,116
769.0,117
778.0,118
779.0,119
781.0,120
802.0,121
806.0,122
824.0,123
847.0,124
860.0,125
864.0,126
867.0,127
873.0,128
875.0,129
881.0,129
882.0,130
913.0,131
918.0,132
928.0,133
937.0,134
940.0,135
952.0,136
969.0,137
974.0,138
981.0,139
992.0,140
995.0,141
996.0,142
997.0,143
1003.0,144
1003.0,144
1009.0,145
1010.0,146
1013.0,147
1018.0,148
1020.0,149
1021.0,150
1027.0,151
1034.0,152
1059.0,153
1062.0,154
1065.0,155
1066.0,156
1088.0,157
1096.0,158
1098.0,159
1100.0,160
1109.0,161
1112.0,162
1121.0,163
1128.0,164
