Time,Active PDUs
0.0,0
61.0,1
80.0,2
84.0,3
125.0,4
150.0,5
221.0,6
226.0,7
231.0,8
246.0,9
253.0,10
257.0,11
267.0,12
298.0,13
313.0,14
314.0,15
318.0,16
378.0,17
412.0,18
415.0,19
427.0,20
441.0,21
490.0,22
512.0,23
527.0,24
532.0,25
562.0,26
608.0,27
659.0,28
664.0,29
672.0,30
679.0,31
688.0,32
704.0,33
737.0,34
824.0,35
829.0,36
863.0,37
890.0,38
892.0,39
895.0,40
915.0,41
917.0,42
925.0,43
946.0,44
959.0,45
984.0,46
1001.0,47
1015.0,48
1027.0,49
1030.0,50
1051.0,51
1066.0,52
1072.0,53
1101.0,54
1103.0,55
1107.0,56
1141.0,57
1161.0,58
1183.0,57
1188.0,58
1204.0,59
1250.0,60
1253.0,61
1265.0,62
1305.0,63
1320.0,64
1326.0,65
1335.0,66
1343.0,67
1368.0,68
1396.0,69
1440.0,68
1446.0,69
1454.0,70
1455.0,71
1469.0,72
1476.0,73
1482.0,74
1496.0,75
1502.0,76
1531.0,77
1558.0,78
1579.0,79
1595.0,80
1632.0,81
1637.0,82
1655.0,83
1656.0,84
1662.0,85
1666.0,86
1676.0,87
1679.0,88
1682.0,89
1723.0,90
1724.0,89
1746.0,90
1763.0,91
1769.0,92
1815.0,93
1836.0,94
1845.0,95
1891.0,96
1922.0,97
1924.0,98
1970.0,99
1971.0,100
1993.0,101
1997.0,102
2021.0,103
2027.0,104
2033.0,105
2061.0,106
2099.0,107
2116.0,108
2126.0,109
2132.0,110
2142.0,111
2162.0,112
2176.0,113
2190.0,114
2216.0,115
2217.0,116
2221.0,117
2283.0,118
2293.0,119
2297.0,120
2346.0,119
2415.0,120
2454.0,121
2464.0,122
2472.0,123
2489.0,124
2513.0,125
2516.0,126
2537.0,127
2569.0,126
2609.0,125
2624.0,126
2652.0,127
2677.0,128
2684.0,129
2718.0,130
2767.0,131
2781.0,132
2802.0,133
2834.0,134
2843.0,135
2845.0,136
2846.0,137
2862.0,138
2880.0,139
2881.0,140
2890.0,141
2905.0,142
2910.0,143
2912.0,144
2928.0,145
2943.0,146
2949.0,145
3024.0,146
3032.0,147
3039.0,148
3041.0,149
3107.0,150
3131.0,151
3135.0,152
3141.0,153
3167.0,154
3174.0,155
3201.0,156
3220.0,157
3226.0,158
3226.0,157
3255.0,158
3258.0,159
3259.0,160
3284.0,161
3287.0,162
3300.0,163
3312.0,164
3332.0,165
3333.0,166
3353.0,167
3392.0,168
3396.0,169
3417.0,170
3435.0,171
3436.0,172
3453.0,171
3474.0,172
3490.0,173
3500.0,174
3548.0,175
3550.0,176
3551.0,177
3574.0,178
3582.0,179
3583.0,180
3590.0,181
3614.0,182
3656.0,183
3668.0,184
3689.0,183
3693.0,184
3726.0,185
3737.0,186
3767.0,187
3821.0,188
3833.0,189
3862.0,190
3909.0,191
3945.0,192
3991.0,193
3992.0,194
3994.0,195
4054.0,196
4072.0,197
4084.0,198
4092.0,199
4120.0,200
4124.0,201
4130.0,200
4152.0,199
4166.0,200
4182.0,201
4226.0,202
4229.0,203
4258.0,204
4261.0,205
4286.0,206
4321.0,207
4323.0,208
4346.0,209
4410.0,208
4420.0,209
4479.0,210
4507.0,211
4509.0,212
4526.0,213
4574.0,214
4579.0,215
4588.0,214
4601.0,215
4604.0,216
4625.0,217
4634.0,218
4643.0,217
4653.0,218
4694.0,219
4735.0,220
4761.0,219
4832.0,220
4877.0,221
4977.0,222
4994.0,223
5009.0,224
5026.0,225
5033.0,224
5053.0,225
5100.0,226
5107.0,227
5152.0,228
5172.0,229
5177.0,230
5186.0,231
5188.0,232
5272.0,233
5274.0,232
5290.0,233
5324.0,234
5328.0,235
5363.0,236
5377.0,237
5389.0,236
5400.0,237
5441.0,238
5442.0,239
5476.0,240
5480.0,241
5490.0,242
5494.0,243
5527.0,242
5540.0,243
5547.0,244
5588.0,245
5752.0,246
