Time,PDUs
0.0,0
201.0,1
262.0,2
274.0,3
409.0,4
492.0,5
726.0,6
742.0,7
756.0,8
806.0,9
829.0,10
840.0,11
871.0,12
974.0,13
1023.0,14
1027.0,15
1040.0,16
1239.0,17
1350.0,18
1357.0,19
1396.0,20
1442.0,21
1532.0,22
1603.0,22
1676.0,23
1725.0,24
1739.0,25
1839.0,26
1990.0,27
2160.0,28
2175.0,29
2202.0,30
2224.0,31
2254.0,32
2307.0,33
2416.0,34
2705.0,35
2720.0,36
2833.0,37
2921.0,38
2927.0,39
2936.0,40
2997.0,41
3002.0,41
3007.0,42
3034.0,43
3102.0,44
3145.0,45
3192.0,46
3229.0,46
3266.0,47
3284.0,47
3330.0,48
3368.0,49
3376.0,50
3444.0,51
3492.0,52
3512.0,53
3606.0,54
3612.0,55
3624.0,56
3735.0,57
3872.0,58
3886.0,59
3938.0,60
4089.0,61
4097.0,62
4135.0,63
4267.0,64
4315.0,65
4332.0,66
4360.0,67
4387.0,68
4404.0,69
4468.0,69
4490.0,70
4616.0,70
4656.0,70
4706.0,70
4726.0,71
4750.0,72
4753.0,73
4800.0,74
4822.0,75
4841.0,76
4886.0,77
4905.0,78
4973.0,79
5001.0,79
5088.0,80
5155.0,81
5207.0,82
5328.0,83
5342.0,84
5402.0,85
5404.0,86
5422.0,87
5435.0,88
5468.0,89
5478.0,90
5487.0,91
5627.0,92
5699.0,93
5754.0,94
5773.0,95
5925.0,96
5992.0,97
6021.0,98
6173.0,99
6274.0,100
6280.0,101
6290.0,102
6433.0,102
6434.0,103
6507.0,104
6519.0,105
6598.0,106
6615.0,107
6634.0,108
6726.0,109
6761.0,110
6793.0,110
6853.0,110
6910.0,111
6941.0,112
6960.0,113
6994.0,114
7061.0,115
7108.0,116
7154.0,117
7240.0,118
7242.0,119
7255.0,120
7424.0,121
7443.0,121
7461.0,121
7492.0,122
7668.0,123
7895.0,124
7904.0,125
8023.0,125
8056.0,126
8082.0,127
8137.0,128
8217.0,129
8224.0,130
8271.0,131
8532.0,131
8581.0,132
8672.0,133
8744.0,134
8753.0,134
8777.0,135
8888.0,136
9051.0,137
9098.0,138
9168.0,139
9274.0,140
9302.0,141
9309.0,142
9312.0,143
9365.0,144
9425.0,145
9428.0,146
9458.0,147
9508.0,148
9514.0,149
9525.0,149
9531.0,150
9582.0,151
9650.0,152
9899.0,153
9902.0,154
9926.0,154
9939.0,155
9948.0,155
9954.0,156
10174.0,157
10254.0,158
10267.0,159
10287.0,160
10371.0,161
10393.0,162
10483.0,163
10547.0,164
10566.0,165
10660.0,166
10661.0,166
10670.0,167
10673.0,168
10717.0,169
10755.0,169
10762.0,170
10776.0,171
10805.0,171
10843.0,172
10907.0,173
10911.0,174
10974.0,175
10977.0,175
11107.0,176
11119.0,177
11188.0,178
11238.0,179
11247.0,179
11305.0,180
11374.0,181
11386.0,182
11427.0,182
11460.0,183
11618.0,184
11623.0,185
11625.0,186
11702.0,187
11728.0,188
11730.0,189
11753.0,190
11784.0,191
11828.0,191
11833.0,191
11973.0,192
12082.0,193
12096.0,194
12111.0,195
12185.0,195
12206.0,195
12242.0,196
12342.0,197
12521.0,198
12532.0,199
12559.0,199
12653.0,200
12668.0,201
12809.0,201
12926.0,202
13025.0,203
13077.0,203
13078.0,204
13085.0,205
13285.0,206
13342.0,207
13382.0,208
13409.0,209
13503.0,210
13607.0,211
13653.0,212
13707.0,213
13853.0,214
13862.0,215
13958.0,216
13966.0,217
14047.0,218
14163.0,219
14169.0,220
14457.0,221
14488.0,222
14685.0,223
14779.0,224
14779.0,224
14785.0,225
14840.0,226
14998.0,227
15044.0,228
15087.0,229
15095.0,230
15096.0,230
15166.0,231
15225.0,232
15257.0,233
15393.0,234
15395.0,235
15614.0,235
15615.0,236
15848.0,236
15996.0,237
16079.0,238
16226.0,238
16253.0,238
16327.0,238
16381.0,239
16431.0,240
16511.0,241
16576.0,242
16577.0,242
16586.0,243
16597.0,243
16618.0,243
16732.0,243
16754.0,244
16902.0,245
16935.0,246
16967.0,246
16981.0,247
17011.0,248
17017.0,249
17032.0,250
17303.0,250
17355.0,251
17368.0,252
17468.0,252
17480.0,253
17596.0,254
17683.0,255
17720.0,256
17825.0,257
17855.0,257
17857.0,258
17968.0,259
17979.0,260
17985.0,261
18011.0,261
18015.0,262
18041.0,262
18054.0,262
18095.0,262
18116.0,262
18135.0,262
18178.0,263
18200.0,264
18334.0,265
18359.0,266
18389.0,266
18568.0,266
18602.0,266
18745.0,266
18774.0,266
18879.0,266
18894.0,267
18934.0,267
19058.0,268
19128.0,268
19147.0,269
19157.0,270
19220.0,271
19295.0,272
19325.0,273
19400.0,274
19499.0,275
19515.0,276
19627.0,276
19682.0,277
19717.0,278
19719.0,279
19784.0,280
19800.0,281
19801.0,282
19861.0,283
19900.0,284
19929.0,285
20032.0,286
20097.0,287
20161.0,288
20169.0,288
20297.0,288
20315.0,289
20354.0,289
20472.0,289
20492.0,290
20544.0,291
20720.0,291
20753.0,291
20780.0,292
20799.0,293
20809.0,294
20820.0,295
20889.0,296
20893.0,297
20918.0,297
20961.0,298
20974.0,299
20977.0,300
20999.0,301
21006.0,302
21048.0,303
21079.0,304
21102.0,305
21158.0,305
21266.0,306
21272.0,307
21348.0,308
21442.0,308
21464.0,309
21513.0,310
21556.0,310
21572.0,311
21578.0,312
21617.0,312
21632.0,313
21648.0,313
21740.0,314
21760.0,315
21911.0,316
21962.0,317
22002.0,318
22021.0,319
22053.0,320
22079.0,321
22106.0,322
22254.0,323
22314.0,324
22330.0,324
22350.0,325
22377.0,325
22429.0,326
22513.0,327
22521.0,327
22531.0,328
22562.0,329
22619.0,330
22907.0,331
22926.0,332
22938.0,333
22950.0,334
22973.0,335
23067.0,336
23093.0,336
23125.0,336
23164.0,337
23175.0,337
23226.0,338
23445.0,338
23464.0,339
23479.0,339
23609.0,340
23613.0,340
23633.0,341
23707.0,342
23719.0,343
23762.0,343
23784.0,344
23798.0,345
23835.0,346
23854.0,347
23917.0,348
23976.0,349
24020.0,350
24024.0,351
24034.0,352
24341.0,353
24452.0,354
24529.0,355
24590.0,356
24594.0,357
24626.0,357
24669.0,358
24744.0,358
24803.0,358
25027.0,359
25115.0,360
25122.0,361
25129.0,361
25220.0,362
25343.0,363
25352.0,364
25449.0,364
25461.0,365
25462.0,366
25574.0,366
25624.0,367
25764.0,368
25878.0,369
25910.0,370
25934.0,371
25981.0,372
26135.0,373
26188.0,374
26247.0,375
26254.0,375
26316.0,376
26335.0,376
26442.0,376
26470.0,377
26576.0,378
26627.0,379
26695.0,380
26731.0,380
26756.0,381
26809.0,382
26847.0,382
26904.0,383
26912.0,384
26924.0,384
27044.0,384
27067.0,385
27131.0,385
27159.0,385
27284.0,386
27307.0,387
27308.0,387
27318.0,387
27329.0,388
27415.0,389
27434.0,390
27484.0,390
27537.0,391
27566.0,392
27631.0,393
27660.0,393
27726.0,393
27761.0,394
27958.0,395
28015.0,396
28017.0,396
28048.0,397
28081.0,397
28219.0,398
28252.0,399
28275.0,399
28294.0,400
28294.0,400
28446.0,400
28458.0,401
28485.0,402
28521.0,402
28553.0,403
28570.0,403
28610.0,403
28649.0,404
28784.0,404
28793.0,405
28915.0,406
28995.0,407
29083.0,407
29085.0,407
29134.0,408
29168.0,409
29196.0,410
29197.0,411
29231.0,412
29387.0,413
29400.0,413
29429.0,414
29470.0,415
29511.0,416
29524.0,417
29561.0,418
29592.0,419
