Time,Active PDUs
0.0,0
2.0,1
5.0,2
5.0,1
7.0,2
9.0,3
10.0,4
11.0,5
12.0,6
14.0,7
15.0,8
16.0,9
17.0,8
18.0,9
19.0,10
20.0,11
21.0,12
23.0,11
26.0,12
27.0,13
28.0,14
33.0,15
33.0,14
33.0,13
37.0,14
38.0,13
39.0,14
42.0,15
44.0,16
45.0,17
46.0,18
47.0,19
50.0,18
52.0,19
53.0,20
54.0,21
57.0,22
60.0,23
62.0,24
62.0,23
65.0,24
66.0,25
66.0,24
67.0,25
67.0,24
68.0,23
71.0,24
71.0,23
73.0,24
74.0,25
75.0,26
76.0,27
76.0,26
82.0,27
85.0,28
87.0,29
88.0,28
89.0,27
93.0,28
94.0,29
95.0,30
96.0,31
96.0,30
97.0,29
100.0,30
103.0,30
105.0,31
106.0,32
108.0,33
110.0,34
112.0,33
114.0,34
116.0,35
116.0,34
118.0,35
119.0,34
121.0,35
122.0,35
124.0,36
125.0,36
126.0,35
129.0,36
130.0,37
131.0,36
132.0,37
133.0,38
134.0,39
135.0,40
137.0,41
141.0,42
141.0,41
142.0,42
143.0,41
146.0,42
146.0,41
146.0,41
148.0,40
150.0,39
150.0,38
153.0,38
155.0,39
155.0,39
156.0,40
156.0,39
158.0,40
161.0,41
163.0,42
164.0,43
164.0,42
165.0,43
170.0,42
171.0,43
172.0,42
172.0,41
173.0,42
174.0,41
176.0,42
177.0,43
178.0,42
179.0,42
180.0,41
180.0,40
181.0,41
183.0,42
188.0,42
190.0,42
194.0,43
194.0,42
198.0,43
199.0,42
201.0,42
201.0,41
203.0,40
205.0,41
206.0,40
208.0,39
208.0,38
212.0,39
213.0,40
214.0,41
215.0,42
219.0,43
219.0,43
221.0,44
222.0,45
225.0,46
226.0,47
226.0,46
227.0,47
229.0,48
229.0,47
233.0,46
237.0,47
237.0,46
240.0,47
241.0,46
242.0,45
243.0,46
245.0,47
247.0,46
249.0,47
250.0,46
250.0,45
250.0,44
250.0,43
252.0,44
253.0,43
254.0,44
254.0,43
257.0,44
258.0,45
258.0,44
259.0,43
259.0,42
261.0,43
262.0,44
264.0,43
265.0,42
266.0,43
266.0,42
267.0,43
269.0,44
272.0,45
274.0,46
275.0,47
275.0,46
276.0,47
280.0,48
281.0,47
282.0,48
283.0,49
283.0,48
283.0,47
284.0,48
286.0,49
288.0,50
290.0,49
292.0,50
292.0,49
302.0,50
305.0,49
306.0,50
308.0,51
310.0,52
310.0,51
310.0,50
311.0,51
312.0,50
313.0,49
316.0,50
316.0,49
317.0,49
318.0,48
318.0,47
319.0,46
320.0,47
321.0,46
322.0,45
322.0,44
323.0,45
324.0,46
327.0,47
327.0,46
328.0,45
328.0,44
330.0,45
331.0,46
333.0,45
337.0,44
337.0,43
338.0,44
339.0,45
341.0,46
341.0,45
341.0,44
343.0,45
344.0,44
344.0,43
346.0,44
348.0,43
348.0,42
351.0,41
352.0,42
353.0,43
358.0,44
358.0,43
359.0,42
359.0,41
362.0,42
363.0,43
363.0,42
367.0,43
367.0,42
368.0,43
369.0,44
369.0,43
370.0,44
371.0,45
372.0,46
374.0,47
377.0,46
379.0,47
382.0,48
384.0,49
385.0,48
385.0,47
386.0,48
388.0,47
390.0,48
392.0,49
394.0,48
395.0,49
395.0,48
399.0,47
399.0,46
400.0,47
401.0,46
402.0,45
406.0,46
408.0,47
409.0,48
411.0,47
414.0,48
414.0,47
415.0,48
416.0,49
417.0,48
418.0,49
419.0,50
420.0,51
421.0,50
423.0,49
424.0,50
426.0,51
426.0,50
427.0,51
428.0,52
428.0,51
429.0,52
431.0,53
432.0,54
432.0,53
434.0,54
435.0,53
436.0,54
439.0,55
440.0,56
442.0,57
442.0,56
443.0,55
443.0,54
443.0,53
444.0,54
445.0,55
447.0,54
450.0,53
450.0,52
452.0,53
452.0,52
452.0,51
453.0,50
455.0,49
456.0,50
458.0,51
460.0,52
461.0,53
461.0,52
462.0,51
462.0,50
467.0,51
467.0,50
468.0,51
469.0,50
471.0,49
471.0,48
472.0,49
473.0,50
474.0,51
475.0,50
475.0,49
477.0,50
479.0,51
480.0,52
481.0,53
481.0,52
485.0,53
485.0,52
485.0,51
486.0,52
487.0,53
488.0,54
489.0,55
491.0,56
492.0,57
492.0,56
492.0,55
493.0,56
494.0,55
495.0,54
498.0,55
499.0,54
500.0,53
501.0,52
507.0,53
507.0,52
508.0,53
510.0,54
511.0,55
512.0,56
513.0,57
514.0,56
516.0,57
516.0,56
517.0,57
518.0,58
520.0,59
522.0,58
523.0,57
524.0,58
524.0,57
525.0,56
527.0,57
527.0,56
529.0,55
534.0,56
536.0,55
538.0,56
540.0,57
540.0,56
540.0,55
540.0,54
541.0,55
541.0,54
542.0,55
544.0,54
545.0,55
546.0,54
547.0,55
550.0,54
551.0,55
552.0,56
553.0,57
554.0,58
556.0,57
556.0,56
557.0,55
559.0,56
560.0,55
561.0,56
565.0,57
565.0,56
568.0,55
569.0,56
570.0,55
571.0,56
572.0,57
572.0,56
575.0,57
575.0,56
576.0,55
579.0,54
583.0,53
583.0,52
585.0,51
586.0,50
588.0,51
590.0,50
592.0,49
593.0,50
594.0,51
594.0,50
594.0,49
598.0,50
599.0,51
599.0,50
600.0,51
600.0,50
602.0,51
605.0,50
606.0,51
607.0,52
608.0,53
609.0,52
610.0,51
611.0,50
612.0,51
613.0,50
614.0,51
615.0,52
615.0,51
618.0,52
619.0,53
621.0,52
622.0,51
623.0,52
625.0,53
627.0,54
627.0,53
628.0,54
628.0,53
630.0,52
632.0,53
634.0,54
635.0,55
637.0,54
638.0,53
640.0,54
641.0,55
642.0,54
643.0,55
643.0,54
644.0,53
645.0,52
646.0,53
647.0,54
647.0,53
648.0,54
649.0,55
649.0,54
650.0,55
653.0,54
654.0,53
655.0,54
655.0,53
655.0,52
656.0,51
657.0,52
658.0,51
659.0,52
660.0,51
660.0,50
661.0,51
662.0,52
663.0,51
668.0,52
669.0,51
669.0,50
670.0,51
670.0,50
671.0,51
672.0,52
672.0,51
672.0,50
674.0,51
676.0,50
676.0,49
677.0,48
679.0,49
680.0,50
683.0,51
684.0,52
685.0,53
685.0,52
686.0,53
686.0,52
687.0,51
688.0,50
689.0,51
690.0,52
690.0,51
691.0,52
692.0,53
694.0,54
696.0,55
696.0,54
696.0,53
697.0,54
697.0,53
698.0,52
700.0,51
701.0,50
701.0,49
703.0,50
707.0,51
708.0,52
709.0,51
709.0,50
711.0,51
712.0,52
712.0,51
714.0,52
716.0,53
716.0,52
717.0,53
718.0,54
718.0,53
720.0,52
721.0,53
722.0,54
724.0,53
724.0,52
726.0,51
728.0,50
729.0,51
729.0,50
730.0,51
730.0,50
731.0,51
731.0,50
732.0,51
733.0,52
733.0,51
735.0,52
736.0,51
738.0,52
740.0,51
740.0,50
740.0,49
742.0,50
745.0,51
746.0,52
746.0,51
747.0,52
748.0,51
749.0,52
750.0,53
751.0,54
751.0,53
751.0,52
752.0,51
755.0,52
757.0,53
758.0,54
759.0,55
760.0,54
762.0,53
762.0,52
763.0,51
764.0,52
764.0,51
765.0,52
768.0,53
768.0,52
768.0,51
769.0,52
770.0,53
770.0,52
773.0,53
773.0,52
773.0,51
774.0,50
776.0,49
778.0,50
780.0,49
787.0,50
788.0,49
789.0,48
790.0,47
791.0,46
791.0,45
794.0,46
798.0,47
799.0,48
799.0,47
801.0,46
802.0,47
803.0,48
804.0,49
807.0,50
810.0,51
811.0,50
811.0,49
812.0,50
814.0,51
815.0,50
816.0,49
816.0,48
817.0,49
820.0,48
823.0,47
825.0,48
826.0,49
827.0,48
828.0,47
829.0,46
830.0,47
832.0,48
833.0,47
835.0,46
837.0,47
838.0,48
843.0,47
844.0,48
846.0,49
846.0,48
847.0,47
847.0,46
848.0,47
848.0,46
848.0,45
848.0,44
853.0,45
853.0,44
854.0,45
856.0,46
863.0,45
864.0,44
866.0,45
867.0,44
869.0,45
870.0,44
871.0,45
873.0,46
875.0,45
876.0,44
879.0,45
879.0,44
880.0,45
882.0,46
883.0,47
883.0,46
886.0,47
887.0,48
889.0,49
890.0,48
891.0,47
892.0,46
895.0,47
897.0,48
904.0,49
904.0,48
905.0,49
906.0,50
907.0,51
910.0,50
911.0,49
913.0,48
913.0,47
914.0,48
914.0,47
915.0,48
915.0,47
917.0,48
919.0,47
919.0,46
922.0,45
923.0,44
924.0,45
924.0,44
925.0,45
928.0,44
930.0,45
931.0,46
931.0,45
934.0,46
935.0,45
937.0,46
940.0,47
944.0,48
948.0,49
949.0,48
950.0,47
951.0,48
952.0,49
952.0,48
953.0,47
954.0,48
960.0,49
961.0,50
964.0,49
965.0,50
966.0,49
967.0,48
969.0,49
969.0,48
970.0,47
971.0,46
973.0,47
974.0,48
975.0,49
976.0,50
976.0,49
977.0,50
979.0,51
980.0,50
982.0,51
984.0,52
985.0,51
985.0,50
986.0,49
987.0,50
988.0,51
988.0,50
991.0,51
994.0,52
994.0,51
994.0,50
995.0,51
999.0,50
1004.0,49
1006.0,48
1008.0,47
1008.0,46
1009.0,47
1015.0,46
1015.0,45
1015.0,44
1016.0,45
1018.0,46
1020.0,47
1021.0,48
1022.0,49
1022.0,48
1024.0,47
1029.0,46
1030.0,45
1032.0,44
1033.0,45
1033.0,44
1034.0,45
1035.0,44
1036.0,43
1036.0,42
1037.0,43
1038.0,42
1041.0,41
1046.0,40
1047.0,41
1048.0,40
1051.0,41
1052.0,42
1052.0,41
1053.0,42
1054.0,43
1054.0,42
1056.0,43
1056.0,42
1057.0,43
1059.0,44
1060.0,45
1062.0,44
1063.0,45
1064.0,44
1065.0,43
1066.0,44
1067.0,45
1068.0,44
1069.0,45
1070.0,44
1073.0,43
1073.0,42
1074.0,43
1074.0,42
1076.0,43
1076.0,42
1077.0,41
1077.0,40
1080.0,39
1081.0,40
1081.0,39
1082.0,40
1083.0,41
1084.0,40
1086.0,39
1087.0,40
1088.0,41
1088.0,40
1089.0,41
1091.0,42
1093.0,41
1093.0,40
1094.0,41
1095.0,42
1097.0,41
1100.0,42
1101.0,41
1103.0,40
1103.0,39
1106.0,40
1107.0,41
1107.0,40
1108.0,41
1109.0,42
1109.0,41
1114.0,42
1116.0,41
1116.0,40
1116.0,39
1122.0,40
1122.0,39
1123.0,40
1123.0,39
1124.0,40
1124.0,39
1125.0,40
1127.0,41
1131.0,42
1131.0,41
1132.0,40
1134.0,41
1135.0,40
1136.0,41
1137.0,40
1141.0,41
1141.0,40
1142.0,41
1143.0,42
1144.0,43
1145.0,42
1146.0,41
