Time,Active PDUs
0.0,0
3.0,1
4.0,2
7.0,3
10.0,4
11.0,5
13.0,4
18.0,5
19.0,6
20.0,7
21.0,8
22.0,9
23.0,8
25.0,7
26.0,8
28.0,9
32.0,10
33.0,11
36.0,12
39.0,13
42.0,14
43.0,15
44.0,14
45.0,13
48.0,14
49.0,15
51.0,16
57.0,15
58.0,16
59.0,17
60.0,18
61.0,19
62.0,20
63.0,21
64.0,20
67.0,21
72.0,22
72.0,21
75.0,22
75.0,21
76.0,22
78.0,23
80.0,24
83.0,25
84.0,24
84.0,23
87.0,24
89.0,25
91.0,26
91.0,25
92.0,26
94.0,25
96.0,24
98.0,23
101.0,22
102.0,23
103.0,24
104.0,23
105.0,24
106.0,23
108.0,24
108.0,23
109.0,24
113.0,25
119.0,26
121.0,25
125.0,26
127.0,27
128.0,28
130.0,29
131.0,28
132.0,29
133.0,30
134.0,31
135.0,32
136.0,31
136.0,30
137.0,31
140.0,32
141.0,33
142.0,32
144.0,33
147.0,34
147.0,33
149.0,34
152.0,35
152.0,34
154.0,35
155.0,34
157.0,33
158.0,32
160.0,33
164.0,34
165.0,35
169.0,36
170.0,37
170.0,36
170.0,35
171.0,36
171.0,35
174.0,34
179.0,33
180.0,34
182.0,35
183.0,36
185.0,35
186.0,36
187.0,37
187.0,36
190.0,37
190.0,36
191.0,35
192.0,36
194.0,37
196.0,38
198.0,37
200.0,38
202.0,37
203.0,38
205.0,39
206.0,38
207.0,39
209.0,40
210.0,41
211.0,42
213.0,41
214.0,40
217.0,41
218.0,42
218.0,41
220.0,42
220.0,41
223.0,40
226.0,39
227.0,40
229.0,41
231.0,42
232.0,41
234.0,40
235.0,41
235.0,40
237.0,41
238.0,40
243.0,41
244.0,40
246.0,41
250.0,40
251.0,41
252.0,42
253.0,41
253.0,40
256.0,41
256.0,40
257.0,41
258.0,40
258.0,39
259.0,40
260.0,39
265.0,38
266.0,37
267.0,36
268.0,37
268.0,36
269.0,37
270.0,38
271.0,37
273.0,38
274.0,39
274.0,38
275.0,39
275.0,38
276.0,37
277.0,38
282.0,37
282.0,36
285.0,37
285.0,36
286.0,37
287.0,38
289.0,37
290.0,36
293.0,35
297.0,36
297.0,35
297.0,34
300.0,35
301.0,34
302.0,35
303.0,34
307.0,35
309.0,34
310.0,33
312.0,34
313.0,35
315.0,36
316.0,35
317.0,36
317.0,35
317.0,34
317.0,33
320.0,34
320.0,33
321.0,34
322.0,35
323.0,36
323.0,35
324.0,36
324.0,35
325.0,36
326.0,35
328.0,34
328.0,33
329.0,32
331.0,33
335.0,34
335.0,33
336.0,34
336.0,33
337.0,34
338.0,35
339.0,36
340.0,35
342.0,34
346.0,35
347.0,34
348.0,35
350.0,34
351.0,35
354.0,36
355.0,37
355.0,36
357.0,37
357.0,36
358.0,37
358.0,36
359.0,37
361.0,36
362.0,37
363.0,38
364.0,39
367.0,40
368.0,41
369.0,42
369.0,41
370.0,40
370.0,39
371.0,40
372.0,39
373.0,38
376.0,39
379.0,40
383.0,41
384.0,42
385.0,41
385.0,40
386.0,39
390.0,40
390.0,39
392.0,40
393.0,39
396.0,40
397.0,41
398.0,42
398.0,41
399.0,42
401.0,43
402.0,42
403.0,43
405.0,44
406.0,45
407.0,46
408.0,45
409.0,44
410.0,43
410.0,42
412.0,43
413.0,44
413.0,43
415.0,44
416.0,45
418.0,46
418.0,45
419.0,46
421.0,45
425.0,46
425.0,45
425.0,44
427.0,43
428.0,44
431.0,45
432.0,44
432.0,43
434.0,44
434.0,43
438.0,44
440.0,45
441.0,44
442.0,45
442.0,44
442.0,43
447.0,44
447.0,43
448.0,44
450.0,45
452.0,44
453.0,45
454.0,44
454.0,43
455.0,44
455.0,43
456.0,44
457.0,45
459.0,44
462.0,45
465.0,46
466.0,45
468.0,46
470.0,47
470.0,46
472.0,47
473.0,48
473.0,47
475.0,48
476.0,49
479.0,50
480.0,49
483.0,50
483.0,49
484.0,50
485.0,49
486.0,50
491.0,51
491.0,50
491.0,49
492.0,50
494.0,49
496.0,50
499.0,51
499.0,50
500.0,51
501.0,52
502.0,51
504.0,52
504.0,51
506.0,52
508.0,53
508.0,52
511.0,53
514.0,54
514.0,53
514.0,52
517.0,53
518.0,52
519.0,53
520.0,54
520.0,53
522.0,54
523.0,53
523.0,52
524.0,53
