Time,Active UPFs
0.0,0
2.0,1
5.0,1
5.0,1
7.0,1
9.0,1
10.0,1
11.0,2
12.0,2
14.0,2
15.0,2
16.0,2
17.0,2
18.0,2
19.0,2
20.0,2
21.0,2
23.0,2
26.0,2
27.0,3
28.0,3
33.0,3
33.0,3
33.0,3
37.0,3
38.0,3
39.0,3
42.0,3
44.0,3
45.0,3
46.0,3
47.0,3
50.0,3
52.0,3
53.0,3
54.0,4
57.0,4
60.0,4
62.0,4
62.0,4
65.0,4
66.0,4
66.0,4
67.0,4
67.0,4
68.0,4
71.0,4
71.0,4
73.0,4
74.0,4
75.0,4
76.0,4
76.0,4
82.0,4
85.0,4
87.0,5
88.0,5
89.0,4
93.0,4
94.0,5
95.0,5
96.0,5
96.0,5
97.0,5
100.0,5
103.0,5
105.0,5
106.0,5
108.0,5
110.0,5
112.0,4
114.0,4
116.0,4
116.0,4
118.0,4
119.0,4
121.0,4
122.0,4
124.0,4
125.0,4
126.0,4
129.0,4
130.0,4
131.0,4
132.0,4
133.0,4
134.0,4
135.0,4
137.0,4
141.0,4
141.0,4
142.0,4
143.0,4
146.0,4
146.0,4
146.0,4
148.0,4
150.0,4
150.0,4
153.0,4
155.0,4
155.0,4
156.0,4
156.0,4
158.0,4
161.0,4
163.0,4
164.0,4
164.0,4
165.0,4
170.0,4
171.0,4
172.0,4
172.0,4
173.0,4
174.0,4
176.0,4
177.0,4
178.0,4
179.0,4
180.0,4
180.0,4
181.0,4
183.0,4
188.0,4
190.0,4
194.0,4
194.0,4
198.0,4
199.0,4
201.0,4
201.0,4
203.0,4
205.0,4
206.0,4
208.0,4
208.0,4
212.0,4
213.0,4
214.0,4
215.0,4
219.0,4
219.0,4
221.0,4
222.0,4
225.0,4
226.0,4
226.0,4
227.0,4
229.0,4
229.0,4
233.0,4
237.0,4
237.0,4
240.0,4
241.0,4
242.0,4
243.0,4
245.0,4
247.0,4
249.0,4
250.0,4
250.0,4
250.0,4
250.0,4
252.0,4
253.0,4
254.0,4
254.0,4
257.0,4
258.0,4
258.0,4
259.0,4
259.0,4
261.0,4
262.0,4
264.0,4
265.0,4
266.0,4
266.0,4
267.0,4
269.0,4
272.0,4
274.0,4
275.0,4
275.0,4
276.0,4
280.0,4
281.0,4
282.0,4
283.0,4
283.0,4
283.0,4
284.0,4
286.0,4
288.0,4
290.0,4
292.0,4
292.0,4
302.0,4
305.0,4
306.0,4
308.0,4
310.0,4
310.0,4
310.0,4
311.0,4
312.0,4
313.0,4
316.0,4
316.0,4
317.0,4
318.0,4
318.0,4
319.0,4
320.0,4
321.0,4
322.0,4
322.0,4
323.0,4
324.0,4
327.0,4
327.0,4
328.0,4
328.0,4
330.0,4
331.0,4
333.0,4
337.0,4
337.0,4
338.0,4
339.0,4
341.0,4
341.0,4
341.0,4
343.0,4
344.0,4
344.0,4
346.0,4
348.0,4
348.0,4
351.0,4
352.0,4
353.0,4
358.0,4
358.0,4
359.0,4
359.0,4
362.0,4
363.0,4
363.0,4
367.0,4
367.0,4
368.0,4
369.0,4
369.0,4
370.0,4
371.0,4
372.0,4
374.0,4
377.0,4
379.0,4
382.0,4
384.0,4
385.0,4
385.0,4
386.0,4
388.0,4
390.0,4
392.0,4
394.0,4
395.0,4
395.0,4
399.0,4
399.0,4
400.0,4
401.0,4
402.0,4
406.0,4
408.0,4
409.0,4
411.0,4
414.0,4
414.0,4
415.0,4
416.0,4
417.0,4
418.0,4
419.0,4
420.0,4
421.0,4
423.0,4
424.0,4
426.0,4
426.0,4
427.0,4
428.0,4
428.0,4
429.0,4
431.0,4
432.0,4
432.0,4
434.0,4
435.0,4
436.0,4
439.0,4
440.0,4
442.0,4
442.0,4
443.0,4
443.0,4
443.0,4
444.0,4
445.0,4
447.0,4
450.0,4
450.0,4
452.0,4
452.0,4
452.0,4
453.0,4
455.0,4
456.0,4
458.0,4
460.0,4
461.0,4
461.0,4
462.0,4
462.0,4
467.0,4
467.0,4
468.0,4
469.0,4
471.0,4
471.0,4
472.0,4
473.0,4
474.0,4
475.0,4
475.0,4
477.0,4
479.0,4
480.0,4
481.0,4
481.0,4
485.0,4
485.0,4
485.0,4
486.0,4
487.0,4
488.0,4
489.0,4
491.0,4
492.0,4
492.0,4
492.0,4
493.0,4
494.0,4
495.0,4
498.0,4
499.0,4
500.0,4
501.0,4
507.0,4
507.0,4
508.0,4
510.0,4
511.0,4
512.0,4
513.0,4
514.0,4
516.0,4
516.0,4
517.0,4
518.0,4
520.0,4
522.0,4
523.0,4
524.0,4
524.0,4
525.0,4
527.0,4
527.0,4
529.0,4
534.0,4
536.0,4
538.0,4
540.0,4
540.0,4
540.0,4
540.0,4
541.0,4
541.0,4
542.0,4
544.0,4
545.0,4
546.0,4
547.0,4
550.0,4
551.0,4
552.0,4
553.0,4
554.0,4
556.0,4
556.0,4
557.0,4
559.0,4
560.0,4
561.0,4
565.0,4
565.0,4
568.0,4
569.0,4
570.0,4
571.0,4
572.0,4
572.0,4
575.0,4
575.0,4
576.0,4
579.0,4
583.0,4
583.0,4
585.0,4
586.0,4
588.0,4
590.0,4
592.0,4
593.0,4
594.0,4
594.0,4
594.0,4
598.0,4
599.0,4
599.0,4
600.0,4
600.0,4
602.0,4
605.0,4
606.0,4
607.0,4
608.0,4
609.0,4
610.0,4
611.0,4
612.0,4
613.0,4
614.0,4
615.0,4
615.0,4
618.0,4
619.0,4
621.0,4
622.0,4
623.0,4
625.0,4
627.0,4
627.0,4
628.0,4
628.0,4
630.0,4
632.0,4
634.0,4
635.0,4
637.0,4
638.0,4
640.0,4
641.0,4
642.0,4
643.0,4
643.0,4
644.0,4
645.0,4
646.0,4
647.0,4
647.0,4
648.0,4
649.0,4
649.0,4
650.0,4
653.0,4
654.0,4
655.0,4
655.0,4
655.0,4
656.0,4
657.0,4
658.0,4
659.0,4
660.0,4
660.0,4
661.0,4
662.0,4
663.0,4
668.0,4
669.0,4
669.0,4
670.0,4
670.0,4
671.0,4
672.0,4
672.0,4
672.0,4
674.0,4
676.0,4
676.0,4
677.0,4
679.0,4
680.0,4
683.0,4
684.0,4
685.0,4
685.0,4
686.0,4
686.0,4
687.0,4
688.0,4
689.0,4
690.0,4
690.0,4
691.0,4
692.0,4
694.0,4
696.0,4
696.0,4
696.0,4
697.0,4
697.0,4
698.0,4
700.0,4
701.0,4
701.0,4
703.0,4
707.0,4
708.0,4
709.0,4
709.0,4
711.0,4
712.0,4
712.0,4
714.0,4
716.0,4
716.0,4
717.0,4
718.0,4
718.0,4
720.0,4
721.0,4
722.0,4
724.0,4
724.0,4
726.0,4
728.0,4
729.0,4
729.0,4
730.0,4
730.0,4
731.0,4
731.0,4
732.0,4
733.0,4
733.0,4
735.0,4
736.0,4
738.0,4
740.0,4
740.0,4
740.0,4
742.0,4
745.0,4
746.0,4
746.0,4
747.0,4
748.0,4
749.0,4
750.0,4
751.0,4
751.0,4
751.0,4
752.0,4
755.0,4
757.0,4
758.0,4
759.0,4
760.0,4
762.0,4
762.0,4
763.0,4
764.0,4
764.0,4
765.0,4
768.0,4
768.0,4
768.0,4
769.0,4
770.0,4
770.0,4
773.0,4
773.0,4
773.0,4
774.0,4
776.0,4
778.0,4
780.0,4
787.0,4
788.0,4
789.0,4
790.0,4
791.0,4
791.0,4
794.0,4
798.0,4
799.0,4
799.0,4
801.0,4
802.0,4
803.0,4
804.0,4
807.0,4
810.0,4
811.0,4
811.0,4
812.0,4
814.0,4
815.0,4
816.0,4
816.0,4
817.0,4
820.0,4
823.0,4
825.0,4
826.0,4
827.0,4
828.0,4
829.0,4
830.0,4
832.0,4
833.0,4
835.0,4
837.0,4
838.0,4
843.0,4
844.0,4
846.0,4
846.0,4
847.0,4
847.0,4
848.0,4
848.0,4
848.0,4
848.0,4
853.0,4
853.0,4
854.0,4
856.0,4
863.0,4
864.0,4
866.0,4
867.0,4
869.0,4
870.0,4
871.0,4
873.0,4
875.0,4
876.0,4
879.0,4
879.0,4
880.0,4
882.0,4
883.0,4
883.0,4
886.0,4
887.0,4
889.0,4
890.0,4
891.0,4
892.0,4
895.0,4
897.0,4
904.0,4
904.0,4
905.0,4
906.0,4
907.0,4
910.0,4
911.0,4
913.0,4
913.0,4
914.0,4
914.0,4
915.0,4
915.0,4
917.0,4
919.0,4
919.0,4
922.0,4
923.0,4
924.0,4
924.0,4
925.0,4
928.0,4
930.0,4
931.0,4
931.0,4
934.0,4
935.0,4
937.0,4
940.0,4
944.0,4
948.0,4
949.0,4
950.0,4
951.0,4
952.0,4
952.0,4
953.0,4
954.0,4
960.0,4
961.0,4
964.0,4
965.0,4
966.0,4
967.0,4
969.0,4
969.0,4
970.0,4
971.0,4
973.0,4
974.0,4
975.0,4
976.0,4
976.0,4
977.0,4
979.0,4
980.0,4
982.0,4
984.0,4
985.0,4
985.0,4
986.0,4
987.0,4
988.0,4
988.0,4
991.0,4
994.0,4
994.0,4
994.0,4
995.0,4
999.0,4
1004.0,4
1006.0,4
1008.0,4
1008.0,4
1009.0,4
1015.0,4
1015.0,4
1015.0,4
1016.0,4
1018.0,4
1020.0,4
1021.0,4
1022.0,4
1022.0,4
1024.0,4
1029.0,4
1030.0,4
1032.0,4
1033.0,4
1033.0,4
1034.0,4
1035.0,4
1036.0,4
1036.0,4
1037.0,4
1038.0,4
1041.0,4
1046.0,4
1047.0,4
1048.0,4
1051.0,4
1052.0,4
1052.0,4
1053.0,4
1054.0,4
1054.0,4
1056.0,4
1056.0,4
1057.0,4
1059.0,4
1060.0,4
1062.0,4
1063.0,4
1064.0,4
1065.0,4
1066.0,4
1067.0,4
1068.0,4
1069.0,4
1070.0,4
1073.0,4
1073.0,4
1074.0,4
1074.0,4
1076.0,4
1076.0,4
1077.0,4
1077.0,4
1080.0,4
1081.0,4
1081.0,4
1082.0,4
1083.0,4
1084.0,4
1086.0,4
1087.0,4
1088.0,4
1088.0,4
1089.0,4
1091.0,4
1093.0,4
1093.0,4
1094.0,4
1095.0,4
1097.0,4
1100.0,4
1101.0,4
1103.0,4
1103.0,4
1106.0,4
1107.0,4
1107.0,4
1108.0,4
1109.0,4
1109.0,4
1114.0,4
1116.0,4
1116.0,4
1116.0,4
1122.0,4
1122.0,4
1123.0,4
1123.0,4
1124.0,4
1124.0,4
1125.0,4
1127.0,4
1131.0,4
1131.0,4
1132.0,4
1134.0,4
1135.0,4
1136.0,4
1137.0,4
1141.0,4
1141.0,4
1142.0,4
1143.0,4
1144.0,4
1145.0,4
1146.0,4
