Time,Active UPFs
0.0,0
1.0,1
2.0,1
3.0,1
4.0,1
5.0,2
6.0,2
7.0,2
8.0,2
9.0,2
10.0,2
14.0,2
16.0,2
17.0,2
19.0,2
20.0,3
23.0,3
37.0,3
38.0,3
40.0,3
45.0,3
49.0,3
51.0,3
53.0,3
57.0,3
58.0,4
61.0,4
63.0,4
67.0,4
68.0,4
68.0,4
69.0,4
70.0,4
72.0,4
73.0,4
73.0,4
74.0,4
74.0,4
74.0,4
76.0,4
77.0,4
78.0,4
78.0,4
80.0,4
80.0,4
82.0,4
82.0,4
83.0,4
87.0,4
87.0,4
88.0,4
90.0,4
91.0,4
93.0,4
94.0,4
94.0,4
95.0,4
96.0,4
96.0,4
101.0,4
101.0,4
106.0,4
108.0,4
109.0,4
110.0,4
111.0,4
111.0,4
113.0,4
113.0,4
113.0,4
116.0,4
116.0,4
117.0,4
120.0,4
125.0,4
127.0,4
127.0,4
130.0,4
132.0,4
134.0,4
135.0,4
136.0,4
136.0,4
137.0,4
137.0,4
138.0,4
140.0,4
141.0,4
142.0,4
143.0,4
145.0,4
146.0,4
146.0,4
150.0,4
154.0,4
154.0,4
158.0,4
163.0,5
165.0,5
166.0,4
167.0,4
169.0,4
171.0,4
172.0,4
173.0,4
173.0,4
174.0,4
176.0,5
177.0,5
179.0,5
180.0,5
181.0,5
181.0,5
182.0,5
183.0,5
186.0,5
186.0,5
187.0,5
190.0,5
191.0,5
193.0,5
193.0,5
196.0,5
198.0,5
199.0,5
202.0,5
202.0,5
204.0,5
205.0,5
205.0,5
210.0,5
210.0,5
212.0,5
213.0,5
215.0,5
217.0,5
218.0,5
218.0,5
219.0,5
221.0,5
223.0,5
224.0,6
224.0,6
224.0,5
226.0,5
226.0,5
227.0,5
228.0,5
230.0,5
230.0,5
231.0,5
231.0,5
235.0,5
235.0,5
236.0,5
238.0,6
238.0,6
239.0,5
241.0,5
242.0,6
243.0,6
245.0,6
248.0,6
250.0,6
250.0,6
252.0,6
253.0,6
254.0,6
255.0,6
259.0,5
260.0,5
262.0,5
266.0,5
267.0,5
268.0,5
272.0,5
272.0,5
275.0,5
275.0,5
276.0,5
277.0,5
279.0,6
280.0,6
281.0,6
281.0,6
282.0,6
282.0,6
283.0,6
285.0,6
285.0,6
286.0,6
287.0,6
287.0,6
288.0,6
289.0,6
290.0,6
295.0,6
296.0,6
296.0,6
300.0,6
301.0,6
301.0,5
303.0,5
304.0,5
308.0,5
308.0,5
312.0,5
312.0,5
312.0,5
314.0,5
314.0,5
315.0,5
316.0,5
318.0,5
319.0,5
320.0,5
328.0,5
329.0,5
330.0,5
331.0,5
331.0,5
332.0,5
334.0,5
334.0,5
336.0,5
339.0,5
340.0,5
341.0,5
346.0,5
348.0,5
353.0,5
356.0,5
357.0,5
361.0,5
362.0,5
363.0,5
366.0,5
370.0,5
371.0,5
377.0,5
378.0,5
380.0,5
381.0,5
381.0,5
384.0,5
386.0,5
386.0,5
390.0,5
393.0,5
394.0,5
394.0,5
395.0,5
397.0,5
398.0,5
400.0,5
402.0,5
403.0,5
406.0,5
406.0,5
407.0,5
408.0,5
410.0,5
411.0,5
412.0,6
414.0,6
415.0,6
416.0,6
421.0,6
424.0,6
425.0,6
428.0,6
430.0,6
430.0,6
431.0,6
432.0,6
436.0,6
437.0,6
438.0,6
439.0,6
439.0,6
441.0,6
442.0,6
445.0,6
446.0,6
447.0,6
447.0,6
448.0,6
450.0,6
450.0,6
452.0,6
453.0,6
455.0,6
456.0,6
459.0,6
459.0,6
460.0,6
461.0,6
462.0,6
464.0,6
465.0,6
468.0,6
470.0,7
471.0,7
471.0,6
472.0,6
473.0,6
474.0,6
475.0,7
