Time,PDUs
0.0,0
2.0,1
5.0,2
5.0,2
7.0,3
9.0,4
10.0,5
11.0,6
12.0,7
14.0,8
15.0,9
16.0,10
17.0,10
18.0,11
19.0,12
20.0,13
21.0,14
23.0,14
26.0,15
27.0,16
28.0,17
33.0,18
33.0,18
33.0,18
37.0,19
38.0,19
39.0,20
42.0,21
44.0,22
45.0,23
46.0,24
47.0,25
50.0,25
52.0,26
53.0,27
54.0,28
57.0,29
60.0,30
62.0,31
62.0,31
65.0,32
66.0,33
66.0,33
67.0,34
67.0,34
68.0,34
71.0,35
71.0,35
73.0,36
74.0,37
75.0,38
76.0,39
76.0,39
82.0,40
85.0,41
87.0,42
88.0,42
89.0,42
93.0,43
94.0,44
95.0,45
96.0,46
96.0,46
97.0,46
100.0,47
103.0,47
105.0,48
106.0,49
108.0,50
110.0,51
112.0,51
114.0,52
116.0,53
116.0,53
118.0,54
119.0,54
121.0,55
122.0,55
124.0,56
125.0,56
126.0,56
129.0,57
130.0,58
131.0,58
132.0,59
133.0,60
134.0,61
135.0,62
137.0,63
141.0,64
141.0,64
142.0,65
143.0,65
146.0,66
146.0,66
146.0,66
148.0,66
150.0,66
150.0,66
153.0,66
155.0,67
155.0,67
156.0,68
156.0,68
158.0,69
161.0,70
163.0,71
164.0,72
164.0,72
165.0,73
170.0,73
171.0,74
172.0,74
172.0,74
173.0,75
174.0,75
176.0,76
177.0,77
178.0,77
179.0,77
180.0,77
180.0,77
181.0,78
183.0,79
188.0,79
190.0,79
194.0,80
194.0,80
198.0,81
199.0,81
201.0,81
201.0,81
203.0,81
205.0,82
206.0,82
208.0,82
208.0,82
212.0,83
213.0,84
214.0,85
215.0,86
219.0,87
219.0,87
221.0,88
222.0,89
225.0,90
226.0,91
226.0,91
227.0,92
229.0,93
229.0,93
233.0,93
237.0,94
237.0,94
240.0,95
241.0,95
242.0,95
243.0,96
245.0,97
247.0,97
249.0,98
250.0,98
250.0,98
250.0,98
250.0,98
252.0,99
253.0,99
254.0,100
254.0,100
257.0,101
258.0,102
258.0,102
259.0,102
259.0,102
261.0,103
262.0,104
264.0,104
265.0,104
266.0,105
266.0,105
267.0,106
269.0,107
272.0,108
274.0,109
275.0,110
275.0,110
276.0,111
280.0,112
281.0,112
282.0,113
283.0,114
283.0,114
283.0,114
284.0,115
286.0,116
288.0,117
290.0,117
292.0,118
292.0,118
302.0,119
305.0,119
306.0,120
308.0,121
310.0,122
310.0,122
310.0,122
311.0,123
312.0,123
313.0,123
316.0,124
316.0,124
317.0,124
318.0,124
318.0,124
319.0,124
320.0,125
321.0,125
322.0,125
322.0,125
323.0,126
324.0,127
327.0,128
327.0,128
328.0,128
328.0,128
330.0,129
331.0,130
333.0,130
337.0,130
337.0,130
338.0,131
339.0,132
341.0,133
341.0,133
341.0,133
343.0,134
344.0,134
344.0,134
346.0,135
348.0,135
348.0,135
351.0,135
352.0,136
353.0,137
358.0,138
358.0,138
359.0,138
359.0,138
362.0,139
363.0,140
363.0,140
367.0,141
367.0,141
368.0,142
369.0,143
369.0,143
370.0,144
371.0,145
372.0,146
374.0,147
377.0,147
379.0,148
382.0,149
384.0,150
385.0,150
385.0,150
386.0,151
388.0,151
390.0,152
392.0,153
394.0,153
395.0,154
395.0,154
399.0,154
399.0,154
400.0,155
401.0,155
402.0,155
406.0,156
408.0,157
409.0,158
411.0,158
414.0,159
414.0,159
415.0,160
416.0,161
417.0,161
418.0,162
419.0,163
420.0,164
421.0,164
423.0,164
424.0,165
426.0,166
426.0,166
427.0,167
428.0,168
428.0,168
429.0,169
431.0,170
432.0,171
432.0,171
434.0,172
435.0,172
436.0,173
439.0,174
440.0,175
442.0,176
442.0,176
443.0,176
443.0,176
443.0,176
444.0,177
445.0,178
447.0,178
450.0,178
450.0,178
452.0,179
452.0,179
452.0,179
453.0,179
455.0,179
456.0,180
458.0,181
460.0,182
461.0,183
461.0,183
462.0,183
462.0,183
467.0,184
467.0,184
468.0,185
469.0,185
471.0,185
471.0,185
472.0,186
473.0,187
474.0,188
475.0,188
475.0,188
477.0,189
479.0,190
480.0,191
481.0,192
481.0,192
485.0,193
485.0,193
485.0,193
486.0,194
487.0,195
488.0,196
489.0,197
491.0,198
492.0,199
492.0,199
492.0,199
493.0,200
494.0,200
495.0,200
498.0,201
499.0,201
500.0,201
501.0,201
507.0,202
507.0,202
508.0,203
510.0,204
511.0,205
512.0,206
513.0,207
514.0,207
516.0,208
516.0,208
517.0,209
518.0,210
520.0,211
522.0,211
523.0,211
524.0,212
524.0,212
525.0,212
527.0,213
527.0,213
529.0,213
534.0,214
536.0,214
538.0,215
540.0,216
540.0,216
540.0,216
540.0,216
541.0,217
541.0,217
542.0,218
544.0,218
545.0,219
546.0,219
547.0,220
550.0,220
551.0,221
552.0,222
553.0,223
554.0,224
556.0,224
556.0,224
557.0,224
559.0,225
560.0,225
561.0,226
565.0,227
565.0,227
568.0,227
569.0,228
570.0,228
571.0,229
572.0,230
572.0,230
575.0,231
575.0,231
576.0,231
579.0,231
583.0,231
583.0,231
585.0,231
586.0,231
588.0,232
590.0,232
592.0,232
593.0,233
594.0,234
594.0,234
594.0,234
598.0,235
599.0,236
599.0,236
600.0,237
600.0,237
602.0,238
605.0,238
606.0,239
607.0,240
608.0,241
609.0,241
610.0,241
611.0,241
612.0,242
613.0,242
614.0,243
615.0,244
615.0,244
618.0,245
619.0,246
621.0,246
622.0,246
623.0,247
625.0,248
627.0,249
627.0,249
628.0,250
628.0,250
630.0,250
632.0,251
634.0,252
635.0,253
637.0,253
638.0,253
640.0,254
641.0,255
642.0,255
643.0,256
643.0,256
644.0,256
645.0,256
646.0,257
647.0,258
647.0,258
648.0,259
649.0,260
649.0,260
650.0,261
653.0,261
654.0,261
655.0,262
655.0,262
655.0,262
656.0,262
657.0,263
658.0,263
659.0,264
660.0,264
660.0,264
661.0,265
662.0,266
663.0,266
668.0,267
669.0,267
669.0,267
670.0,268
670.0,268
671.0,269
672.0,270
672.0,270
672.0,270
674.0,271
676.0,271
676.0,271
677.0,271
679.0,272
680.0,273
683.0,274
684.0,275
685.0,276
685.0,276
686.0,277
686.0,277
687.0,277
688.0,277
689.0,278
690.0,279
690.0,279
691.0,280
692.0,281
694.0,282
696.0,283
696.0,283
696.0,283
697.0,284
697.0,284
698.0,284
700.0,284
701.0,284
701.0,284
703.0,285
707.0,286
708.0,287
709.0,287
709.0,287
711.0,288
712.0,289
712.0,289
714.0,290
716.0,291
716.0,291
717.0,292
718.0,293
718.0,293
720.0,293
721.0,294
722.0,295
724.0,295
724.0,295
726.0,295
728.0,295
729.0,296
729.0,296
730.0,297
730.0,297
731.0,298
731.0,298
732.0,299
733.0,300
733.0,300
735.0,301
736.0,301
738.0,302
740.0,302
740.0,302
740.0,302
742.0,303
745.0,304
746.0,305
746.0,305
747.0,306
748.0,306
749.0,307
750.0,308
751.0,309
751.0,309
751.0,309
752.0,309
755.0,310
757.0,311
758.0,312
759.0,313
760.0,313
762.0,313
762.0,313
763.0,313
764.0,314
764.0,314
765.0,315
768.0,316
768.0,316
768.0,316
769.0,317
770.0,318
770.0,318
773.0,319
773.0,319
773.0,319
774.0,319
776.0,319
778.0,320
780.0,320
787.0,321
788.0,321
789.0,321
790.0,321
791.0,321
791.0,321
794.0,322
798.0,323
799.0,324
799.0,324
801.0,324
802.0,325
803.0,326
804.0,327
807.0,328
810.0,329
811.0,329
811.0,329
812.0,330
814.0,331
815.0,331
816.0,331
816.0,331
817.0,332
820.0,332
823.0,332
825.0,333
826.0,334
827.0,334
828.0,334
829.0,334
830.0,335
832.0,336
833.0,336
835.0,336
837.0,337
838.0,338
843.0,338
844.0,339
846.0,340
846.0,340
847.0,340
847.0,340
848.0,341
848.0,341
848.0,341
848.0,341
853.0,342
853.0,342
854.0,343
856.0,344
863.0,344
864.0,344
866.0,345
867.0,345
869.0,346
870.0,346
871.0,347
873.0,348
875.0,348
876.0,348
879.0,349
879.0,349
880.0,350
882.0,351
883.0,352
883.0,352
886.0,353
887.0,354
889.0,355
890.0,355
891.0,355
892.0,355
895.0,356
897.0,357
904.0,358
904.0,358
905.0,359
906.0,360
907.0,361
910.0,361
911.0,361
913.0,361
913.0,361
914.0,362
914.0,362
915.0,363
915.0,363
917.0,364
919.0,364
919.0,364
922.0,364
923.0,364
924.0,365
924.0,365
925.0,366
928.0,366
930.0,367
931.0,368
931.0,368
934.0,369
935.0,369
937.0,370
940.0,371
944.0,372
948.0,373
949.0,373
950.0,373
951.0,374
952.0,375
952.0,375
953.0,375
954.0,376
960.0,377
961.0,378
964.0,378
965.0,379
966.0,379
967.0,379
969.0,380
969.0,380
970.0,380
971.0,380
973.0,381
974.0,382
975.0,383
976.0,384
976.0,384
977.0,385
979.0,386
980.0,386
982.0,387
984.0,388
985.0,388
985.0,388
986.0,388
987.0,389
988.0,390
988.0,390
991.0,391
994.0,392
994.0,392
994.0,392
995.0,393
999.0,393
1004.0,393
1006.0,393
1008.0,393
1008.0,393
1009.0,394
1015.0,394
1015.0,394
1015.0,394
1016.0,395
1018.0,396
1020.0,397
1021.0,398
1022.0,399
1022.0,399
1024.0,399
1029.0,399
1030.0,399
1032.0,399
1033.0,400
1033.0,400
1034.0,401
1035.0,401
1036.0,401
1036.0,401
1037.0,402
1038.0,402
1041.0,402
1046.0,402
1047.0,403
1048.0,403
1051.0,404
1052.0,405
1052.0,405
1053.0,406
1054.0,407
1054.0,407
1056.0,408
1056.0,408
1057.0,409
1059.0,410
1060.0,411
1062.0,411
1063.0,412
1064.0,412
1065.0,412
1066.0,413
1067.0,414
1068.0,414
1069.0,415
1070.0,415
1073.0,415
1073.0,415
1074.0,416
1074.0,416
1076.0,417
1076.0,417
1077.0,417
1077.0,417
1080.0,417
1081.0,418
1081.0,418
1082.0,419
1083.0,420
1084.0,420
1086.0,420
1087.0,421
1088.0,422
1088.0,422
1089.0,423
1091.0,424
1093.0,424
1093.0,424
1094.0,425
1095.0,426
1097.0,426
1100.0,427
1101.0,427
1103.0,427
1103.0,427
1106.0,428
1107.0,429
1107.0,429
1108.0,430
1109.0,431
1109.0,431
1114.0,432
1116.0,432
1116.0,432
1116.0,432
1122.0,433
1122.0,433
1123.0,434
1123.0,434
1124.0,435
1124.0,435
1125.0,436
1127.0,437
1131.0,438
1131.0,438
1132.0,438
1134.0,439
1135.0,439
1136.0,440
1137.0,440
1141.0,441
1141.0,441
1142.0,442
1143.0,443
1144.0,444
1145.0,444
1146.0,444
1147.0,444
