Time,PDUs
0.0,0
3.0,1
4.0,2
7.0,3
10.0,4
11.0,5
13.0,5
18.0,6
19.0,7
20.0,8
21.0,9
22.0,10
23.0,10
25.0,10
26.0,11
28.0,12
32.0,13
33.0,14
36.0,15
39.0,16
42.0,17
43.0,18
44.0,18
45.0,18
48.0,19
49.0,20
51.0,21
57.0,21
58.0,22
59.0,23
60.0,24
61.0,25
62.0,26
63.0,27
64.0,27
67.0,28
72.0,29
72.0,29
75.0,30
75.0,30
76.0,31
78.0,32
80.0,33
83.0,34
84.0,34
84.0,34
87.0,35
89.0,36
91.0,37
91.0,37
92.0,38
94.0,38
96.0,38
98.0,38
101.0,38
102.0,39
103.0,40
104.0,40
105.0,41
106.0,41
108.0,42
108.0,42
109.0,43
113.0,44
119.0,45
121.0,45
125.0,46
127.0,47
128.0,48
130.0,49
131.0,49
132.0,50
133.0,51
134.0,52
135.0,53
136.0,53
136.0,53
137.0,54
140.0,55
141.0,56
142.0,56
144.0,57
147.0,58
147.0,58
149.0,59
152.0,60
152.0,60
154.0,61
155.0,61
157.0,61
158.0,61
160.0,62
164.0,63
165.0,64
169.0,65
170.0,66
170.0,66
170.0,66
171.0,67
171.0,67
174.0,67
179.0,67
180.0,68
182.0,69
183.0,70
185.0,70
186.0,71
187.0,72
187.0,72
190.0,73
190.0,73
191.0,73
192.0,74
194.0,75
196.0,76
198.0,76
200.0,77
202.0,77
203.0,78
205.0,79
206.0,79
207.0,80
209.0,81
210.0,82
211.0,83
213.0,83
214.0,83
217.0,84
218.0,85
218.0,85
220.0,86
220.0,86
223.0,86
226.0,86
227.0,87
229.0,88
231.0,89
232.0,89
234.0,89
235.0,90
235.0,90
237.0,91
238.0,91
243.0,92
244.0,92
246.0,93
250.0,93
251.0,94
252.0,95
253.0,95
253.0,95
256.0,96
256.0,96
257.0,97
258.0,97
258.0,97
259.0,98
260.0,98
265.0,98
266.0,98
267.0,98
268.0,99
268.0,99
269.0,100
270.0,101
271.0,101
273.0,102
274.0,103
274.0,103
275.0,104
275.0,104
276.0,104
277.0,105
282.0,105
282.0,105
285.0,106
285.0,106
286.0,107
287.0,108
289.0,108
290.0,108
293.0,108
297.0,109
297.0,109
297.0,109
300.0,110
301.0,110
302.0,111
303.0,111
307.0,112
309.0,112
310.0,112
312.0,113
313.0,114
315.0,115
316.0,115
317.0,116
317.0,116
317.0,116
317.0,116
320.0,117
320.0,117
321.0,118
322.0,119
323.0,120
323.0,120
324.0,121
324.0,121
325.0,122
326.0,122
328.0,122
328.0,122
329.0,122
331.0,123
335.0,124
335.0,124
336.0,125
336.0,125
337.0,126
338.0,127
339.0,128
340.0,128
342.0,128
346.0,129
347.0,129
348.0,130
350.0,130
351.0,131
354.0,132
355.0,133
355.0,133
357.0,134
357.0,134
358.0,135
358.0,135
359.0,136
361.0,136
362.0,137
363.0,138
364.0,139
367.0,140
368.0,141
369.0,142
369.0,142
370.0,142
370.0,142
371.0,143
372.0,143
373.0,143
376.0,144
379.0,145
383.0,146
384.0,147
385.0,147
385.0,147
386.0,147
390.0,148
390.0,148
392.0,149
393.0,149
396.0,150
397.0,151
398.0,152
398.0,152
399.0,153
401.0,154
402.0,154
403.0,155
405.0,156
406.0,157
407.0,158
408.0,158
409.0,158
410.0,158
410.0,158
412.0,159
413.0,160
413.0,160
415.0,161
416.0,162
418.0,163
418.0,163
419.0,164
421.0,164
425.0,165
425.0,165
425.0,165
427.0,165
428.0,166
431.0,167
432.0,167
432.0,167
434.0,168
434.0,168
438.0,169
440.0,170
441.0,170
442.0,171
442.0,171
442.0,171
447.0,172
447.0,172
448.0,173
450.0,174
452.0,174
453.0,175
454.0,175
454.0,175
455.0,176
455.0,176
456.0,177
457.0,178
459.0,178
462.0,179
465.0,180
466.0,180
468.0,181
470.0,182
470.0,182
472.0,183
473.0,184
473.0,184
475.0,185
476.0,186
479.0,187
480.0,187
483.0,188
483.0,188
484.0,189
485.0,189
486.0,190
491.0,191
491.0,191
491.0,191
492.0,192
494.0,192
496.0,193
499.0,194
499.0,194
500.0,195
501.0,196
502.0,196
504.0,197
504.0,197
506.0,198
508.0,199
508.0,199
511.0,200
514.0,201
514.0,201
514.0,201
517.0,202
518.0,202
519.0,203
520.0,204
520.0,204
522.0,205
523.0,205
523.0,205
524.0,206
526.0,207
