Time,UPFs
0.0,0
1.0,1
2.0,1
3.0,1
6.0,1
7.0,2
7.0,2
9.0,2
11.0,2
12.0,2
13.0,2
14.0,2
15.0,2
16.0,2
18.0,2
23.0,3
25.0,3
25.0,3
28.0,3
29.0,3
29.0,3
32.0,3
33.0,3
34.0,3
35.0,3
41.0,3
41.0,3
43.0,3
47.0,3
47.0,3
50.0,3
53.0,3
56.0,3
58.0,3
59.0,3
59.0,3
60.0,3
60.0,3
61.0,3
62.0,3
63.0,3
64.0,4
66.0,4
66.0,4
67.0,4
68.0,4
73.0,4
84.0,4
84.0,4
84.0,4
85.0,4
85.0,4
85.0,4
92.0,4
93.0,4
94.0,4
95.0,4
97.0,4
98.0,4
102.0,4
103.0,4
105.0,4
107.0,4
110.0,4
110.0,4
112.0,4
113.0,4
113.0,4
114.0,4
117.0,4
118.0,4
119.0,4
119.0,4
120.0,4
121.0,4
121.0,4
122.0,4
124.0,4
124.0,4
127.0,4
129.0,4
129.0,4
132.0,4
134.0,4
135.0,4
136.0,4
138.0,4
141.0,4
143.0,4
144.0,4
144.0,4
144.0,4
148.0,4
148.0,4
150.0,4
151.0,4
151.0,4
152.0,4
155.0,4
159.0,4
161.0,4
162.0,4
163.0,4
164.0,4
165.0,4
167.0,4
167.0,4
168.0,4
170.0,4
170.0,4
172.0,4
172.0,4
176.0,4
177.0,4
178.0,4
179.0,5
179.0,5
181.0,5
183.0,5
185.0,5
186.0,5
188.0,5
189.0,5
189.0,5
190.0,5
191.0,5
192.0,5
192.0,5
193.0,5
193.0,5
194.0,5
195.0,5
196.0,5
196.0,5
197.0,5
198.0,5
198.0,5
199.0,5
199.0,5
202.0,5
204.0,5
204.0,5
205.0,5
205.0,5
205.0,5
208.0,5
208.0,5
210.0,5
211.0,5
212.0,5
213.0,5
214.0,6
217.0,6
219.0,6
221.0,6
221.0,6
224.0,6
231.0,6
232.0,6
233.0,6
235.0,6
235.0,6
235.0,6
235.0,6
236.0,6
238.0,6
239.0,6
243.0,6
244.0,6
246.0,7
246.0,7
250.0,7
250.0,7
253.0,7
253.0,7
254.0,7
255.0,7
257.0,7
260.0,7
262.0,7
263.0,7
264.0,7
268.0,7
270.0,7
270.0,7
271.0,7
271.0,7
272.0,7
273.0,7
276.0,7
280.0,7
281.0,7
283.0,7
283.0,7
283.0,7
284.0,7
285.0,7
287.0,7
290.0,7
293.0,7
294.0,7
296.0,7
296.0,7
301.0,7
301.0,7
304.0,7
304.0,7
305.0,7
307.0,7
308.0,7
310.0,7
311.0,7
311.0,7
312.0,7
313.0,7
313.0,7
314.0,7
317.0,7
317.0,7
318.0,7
319.0,7
320.0,7
320.0,7
321.0,7
326.0,8
326.0,8
327.0,8
332.0,8
333.0,8
334.0,8
334.0,8
334.0,8
335.0,8
336.0,8
337.0,8
338.0,8
340.0,8
340.0,8
340.0,8
341.0,8
342.0,8
342.0,8
343.0,8
344.0,8
346.0,8
347.0,8
348.0,8
349.0,8
349.0,8
351.0,8
352.0,8
352.0,8
353.0,8
357.0,8
359.0,8
365.0,8
367.0,8
367.0,8
368.0,8
369.0,8
370.0,8
372.0,8
372.0,8
373.0,8
374.0,8
374.0,8
376.0,8
377.0,8
380.0,8
380.0,8
381.0,8
381.0,8
381.0,8
381.0,8
382.0,8
383.0,8
383.0,8
385.0,8
386.0,8
390.0,8
394.0,8
394.0,8
398.0,8
400.0,8
401.0,8
402.0,8
404.0,8
404.0,8
405.0,8
406.0,8
407.0,8
408.0,8
409.0,8
410.0,8
410.0,8
413.0,8
414.0,8
415.0,8
416.0,8
417.0,8
420.0,8
420.0,8
421.0,8
424.0,8
425.0,8
426.0,8
427.0,8
428.0,8
431.0,8
